,content,,,,,,,,
244,지들이 재미없다고 다른 사람도 재미없어라 이말도 아니고 말하는 꼬라지 ㅉㅉ,,,,,,,,
245,평점알바 색휘들 진짜 죽여버리고 싶다... 영화보면서 이렇게 화가나보긴 첨이다.,,,,,,,,
246,진짜 배우들 연기 진짜같다,,,,,,,,
247,임산부나 노약자는 삼가해주시길,,,,,,,,
248,이거본날 잠못잤다. 존나 무서워…,,,,,,,,
249,움찔움찔 놀라는 맛이 아주 좋아요,,,,,,,,
250,마무리도 별로구..공포까진..아닌듯...,,,,,,,,
251,평점 말도안되게 높다...결말 어처구니 없고...객관적으로 6점 이하가 맞다고 생각..,,,,,,,,
252,좀 어지러웠지만 그덕에 엄청실감났음,,,,,,,,
253,여지껏 봤던 엑소시스트 시리즈중에 최강이다..,,,,,,,,
254,요즘 이야기위주의 허접공포영화보다 1000배는 재밌다. 무섭구..ㅜ,,,,,,,,
255,처음으로 평점을 쓰게 만든영화다.종교적으로비춰진다는의미는존재하기에그렇지않을까,,,,,,,,
256,짜릿한 공포의 묘미…이영화를 보면 알수있을거다.,,,,,,,,
257,공포보다는 종교적색채가 강하다. 개개인의 신앙에 따라 다른느낌을 받을듯..,,,,,,,,
258,마치 사실에 기초한듯한 착각을 불러일으킨다.,,,,,,,,
259,기대가 넘 컸다. 잠깐 놀라는게 다야.. 억지 마무리,,,,,,,,
260,ㅋㅋㅋㅋㅋㅋㅋㅋ 긴장감 은 굿 내용을 약간;;,,,,,,,,
261,우악스런 공포보다는 자연스럽게 조여오는 긴장감이 좋았다.,,,,,,,,
262,긴장하면서 봤다…근데 끝이 잘 이해가 안간다..,,,,,,,,
263,사실 보고 기분이 그다지 좋지않다. 앞으로 집에서 불켜고 자야겠다,,,,,,,,
264,깜짝놀래는것보다 더 무서운게 담겨있는 영화..은근 소름 공포,,,,,,,,
265,사람의 어두운 본능을 잘 살린듯,,,,,,,,
266,무섭다…ㅡ ㅡ 이거 꼭 실화같다.,,,,,,,,
267,하드한 공포물은 아니다. 하지만 생각을 하게 만드는 영화 간만에 본다,,,,,,,,
268,기대이하..,,,,,,,,
269,이거 뭐야..영화도 아니다,,,,,,,,
270,조금의 몰입감 뿐 시시한 결말,,,,,,,,
271,볼만한건 목꺾는거 뿐임ㅇㅇ 목 되게 잘 꺾더라,,,,,,,,
272,영화 REC같은거 좋아하시면 보세요.. 볼만은 합니다,,,,,,,,
273,엑소시즘을 토대로 접근해본 가능성에 대한 고찰,,,,,,,,
274,스토리적으로 조금 미흡하긴 하지만 아주 참신하고 흡인력있었다.,,,,,,,,
275,좋은 발상에서 끝맺음이 쥑이네,,,,,,,,
276,식상하지않고 완급조절이 좋다,,,,,,,,
277,그럭저럭 생각도 많이 하게 되고..괜찮은 영화인거같아요.,,,,,,,,
278,배우들 연기 진짜 리얼하다. 그래서 더 무섭고 실감났다,,,,,,,,
279,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
280,낚이지 마세요 진짜 저도 재밌는 줄 알고 봤는데 와 진짜 쓰레기임 시간아까워 진짜,,,,,,,,
281,진짜알바가 있긴있구나.. 10점준ㅅ끼들 아이디 눌러보면 답나옴..ㅡ_ㅡ; 황당..,,,,,,,,
282,내가 여지껏 봤던 공포영화중에 최고의 공포를 안겨준 영화..,,,,,,,,
283,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
284,극장에서 소리 졸라 질렀네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
285,헐 진짜 미치도록 무서운 영화다 아나 오늘 잠못자겠다.,,,,,,,,
286,배우들의 자연스러운 연기가 볼만하네요,,,,,,,,
287,현실을 제대로 반영했기에 더욱더 무서울수밖에 없었던,,,,,,,,
