,content
108,내 인생 최고로 아름다운 영화.
109,뱀파이어와 인간의  사실적이면서도 서사적인 사랑
110,이영화보고 한동안 70
111,오~ 이거 볼 당시엔 그냥 잠잠해서 넋놓고 봤는데
112,하얗고 눈부신 눈밭을 빨갛게 물들이는 그들만의 아름다운 잔혹동화
113,흰색과 붉은색의 대비가 만들어낸 아름다운 영화
114,이렇게 몽환적이고 아름다운 뱀파이어가 있다니
115,영화가 끝날 때까지 기대했던 것 그 이상의 것을 느끼지는 못했다고 생각했는데 다 보고 나서의 여운은 강렬했다. 잔잔하고
116,대체 이걸 왜 봤을까 ㅜㅜ
117,처음 평점남기는데 절대 보지 말것... 절대로..... 평점 믿지말것.....
118,쓰렉......
119,대체..뭐가..최고라는건지..ㅜㅜ이해하기힘든그리고이해하기도싫은..
120,재미도 없고 감동도 없고... 이거 감동있다고 하는 놈은 남 피빨아먹고 사는 놈이다.
121,작품성도 없고 재미도 없고 이런영화도 알바가 있네 쯧 -_- 기대했는데 돈 아까워~
122,평점좋아서 볼려고했는대 와 진짜 욕할만한영화 3명이서 봤는대 다재미없대 ㅋㅋ
123,뻥들 치시네 재미 졸라없음....
124,때로는 소설보다 영화가 낫다...
125,여자애 아역이 연기가 대단하네 얼굴은 꼬마아인데 표정은 30대 아줌마같은 연기를 함
126,아름다운 잔혹 동화.. 뱀파이어 소녀와 인간 소년.. 그 둘만의 사랑..
127,엔딩이 좀 아쉽다 감독으로선 그게 최선일수도 있겠지만...이루어질 수 없는 안타까운 사랑. 엔딩의 시작은 빛나는 하얀 눈처럼 밝겠지만 그 끝은 이엘리의 숙명처럼 오스칼 또한 어둠에 잠식되어갈것이기에 더욱 슬프다. 덕...
128,이 사랑이 얼마나 평생 갈 수 없다는 걸 알기에 먹먹하다.
129,원작이 훨씬 묘하다. 바닐라스카이 보다 오픈유어아이즈가 인정받는 그런것
130,
131,아름다운 공포영화입니다.
132,영화 전반적으로 펼쳐지는 몽환적인 연출때문인지 여운이 쉽게 안가신다.
133,너에게로 가고싶어그래두 되나..??
134,근래 본 최고 판타지. 서늘하다. 북유럽 정서와 신화가 얼음처럼 봉인된 금세기 최고 판타지. 냉혹미와 연민
135,남자주인공 아이의 표정이 참 좋았다. 구절구절 설명없음에도 알거 같고 애잔함 여운이 오래갔다.
136,단 한 장면도 쓸모없는 장면이 없었다.
137,걍 틴 무비 같아 보였지만 아니었다 평론가들이 8점 넘게 준 이유를 알겠음 원작소설이 더 궁금할 지경
138,너무나도 잔혹하고 슬픈 이야기..
139,어린이들의 세계라 더 잔혹했던 걸까.. 하얀 눈과 이엘리에 손에 베인 핏자국들이 흔히 보던 뱀파이어의 인상은 지워버리고 어딘가 더럽고 슬픈 얼룩이었다. 그들이 살아갈 앞으로의 시간들이 너무나 고통스럽다.
140,감동이다.오래간만에 감동을 느껴본다.강추
141,리메이크판 먼저 보고나서 보는건데도 불구하고 전혀 지루하지 않았다. 연출 ost 모든면에서 원작이 더 뛰어나다
142,빛(드러냄)과 어둠(고립감)에도  두렵지 않는 순수한 하얀 눈 위에 그려진  백지상태의 있는 그대로의 모습으로 서로를 초대할 수 있는 크리스마스 초대장을 받은 듯한 따뜻한 영화이다.
143,전체적으로 은은했다. 벽을 두드리면서 모스부호로 대화하는 아날로그적인 모습이 인상적이었다. 마지막 이엘리가 돌아올 때 좀 더 설명이 있었다면 좋았을 거 같다. 둘의 모습을 더 다뤄졌으면 하는 아쉬움이 조금 남는다.
144,이 영화의 결말을 해피엔딩이라고 해야 될까?... 긴 여운이 남는다.
145,영화를 볼 때보다 보고난 후의 그 기분이란....
146,몽환적이면서도 신비스러운 색채의 영화.. 그냥 볼 땐 잘 몰랐는데.. 리뷰 등을 보면 곱씹으니 아름답고 슬픈 이야기..
147,차갑도록 시린. 애절하리만큼 아픈.
148,순수와 잔혹의 경계를 허무는 가장 이상적인 타협
149,피로 얼룩져도 사랑은 얼룩지지 않는다.
150,그냥 이 소년이 맘에 들었다.
151,참 아름답고 슬픈 이야기. 다시 봐도 그 때 그 감동 그대로
152,진짜 한장면마다 작가가보여주는 상징 숨겨진뜻들  그리고 이영화분위기와 연출  진짜 대단하고 여운이 오랫동안 남는다.. 정말 제인생영화
153,내생애 이런 영화는 없었다.
154,이건 뭐 정말 걸작 오브 걸작. 팅커 테일러 솔져 스파이는 좀 지못미지만 이 작품만으로도 토마스 알프레드슨은 거장의 반열에 올랐다.
155,진짜 영원한 사랑이다. 슬프게도. 정말 아름답다.
156,여운이 상당하다...  마지막 씬 연출은 두고두고 생각남
157,애절한 잔혹동화. ㅠㅠ
158,난 영화 기대 하고 있습니다
159,잔혹한 사랑...그레서 너무 아름답다.
160,분위기 영화. 감성적인 대사들. 그리고 예쁜 눈 마주침.
161,아름다운 영상 좋아요.
162,근데 왜 장르가 공포로 되어있냐?
163,이렇게 잔인한데 아름다운 영화가 또 있을까?
164,북유럽의 스산한 풍경..
165,최고의 영화 아름답고 차가운
166,뱀파이어 영화의 최정상
167,얼어붙을 듯한 스웨덴의 겨울과 아름다운 음악 소년소녀 결코 잊을수 없는 명작
168,렛미인2011 보고 2008 리뷰쓰러 왔습니다. 영상미는 있는데 그 몽환적인 분위기는 역시 원작을 따라갈수 없나봐요... 배우들도 캐릭터와 너무 잘어울리고.. 최고!
169,인상깊게 봤습니다...
170,참 재미있었다. 하하하
171,단순히 공포
172,분위기가 너무 좋은 작품
173,헐리우드 영화에서는 느낄 수 없는 현실감 넘치는 연출이 정말 좋았음
174,몇번을 다시봤는지 몰라요 미국판은 나름 친절한 스토리진행이라 괜찮았지만 이 스웨덴판은 그냥 최고.명작.
175,트와일라잇같은거  보고  환장하는  애들은  여기서  꺼지시길..
176,상당히 여운이 남는 스산한 고요함. 조용히 파고드는 여운.
177,평생 오랫동안 기억에 남는 영화^^
178,서정적인연출이 베이스노트. 그리고 그위에 곳곳에 드라이아이스처럼 얼려진 섬뜩함.. 순수와 공포의 깔끔한콜라보레이션 . 그리고 영화가끝나도 가시지않는 여운.
179,시간이 지난 지금도 잘 만들었다.
180,뱀파이어=트와일라잇'이라는 생각을 깨버리는 영화너무 가슴아프고 아련하다
181,굳..  결국 할아버지와 같은 길을 걷게 되는 오스칼..
182,슬프고 아름다운 영화. 긴 여운이 생기는 영화.
183,정말 감동적인 작품이다.
184,아름다운 스웨덴의 눈덮인 풍경 
185,이 영화 참 특이하네. 독특한 감성의 뱀파이어 이야기.
186,영화 자체의 분위기가 너무좋다
187,최고네요!  이런건 무조건 봐줘야 하는겁니다요!! ㅎㅎ
188,아름답고 슬프다. 삭막한 세상을 견뎌내는 어린 연인이 사랑이란 서로의 피를 내어주는 희생이라는 걸 배운다.
189,헐리우드 버전에서는 사랑이라는 것을 남녀의 사랑으로 단정을 지었지만 스웨덴 버전에서는 결코 남녀의 사랑으로 단정짓지 않았다.
190,정말 기괴하고 사랑스러운 멋진 작품.
191,아름다운사랑이야기...
192,소설 꼭 보시길 바람 전 소설 읽었는데 정말 형용안되는 감정들이 스쳐지나가요.. 결말은 안타깝지만 안도스럽기도하고..
193,렛미인. 안으로 들어와도 돼? 모든 의미를 알면 아름답고 매혹적인 영화같다
194,신경만 자극하는 헐리우드 영화를 좋아한다면 이처럼 잔잔하면서도 가슴 깊이 후벼파는 유럽영화의 풍미를 느끼긴 힘들지... 맨날 햄버거같은 인스턴트 먹다가 갑자기 재료가 살아 있는 진짜 음식을 못먹는 어린애들처럼 말야....
195,머리가 나빠서...책으로 읽을때도??? 영화가 끝난 후에도???  순수한 사랑도 세월 앞에선 결국 변하기 마련인건가? 씁쓸한 마음반
196,감성적이고 차분한 전개는 독특하게 다가왔지만 그게 마음에  와닿지는 않았다. 피와 동심 전혀 어울리지 않는 두가지가 뒤섞인 사랑이야기. 잘모르겠다 ;;
197,이거 보니깐 외로워졌어;;근데 그래서 좋은 영화
198,네이버 평점 처음 쓰는데
199,괜찮긴 하지만 몇가지 군더더기가 보이는...평점좀 깍자
200,짜증남.........이해도 못하겠고 무섭지도 않고 의도가 제대로 전달되지않았음...
201,평점에 낚였다. 지루하고 구성도 이상하고..
202,영화알바들의 융단폭격 그리고 폐허
203,토 나오는 영화 최악의 영화다 왜 평점이 높은건지..이런영화 왜 수입하는건지???
204,이거 봤는데.. 평점이 이해안댐;;
205,순수함? 엿먹는소리하네 원래는 별4정도지만 병맛나는 분들이 평점을 너무오버
206,아이들용이구만...왠만하면 평점잘주는데 이건좀...
207,평점 갑자기 올랐네 ;; 아 내돈 ㅠㅠ
208,암울한 느낌
209,리뷰로 보는 영화.
210,징그럽고  재미없다. 으....지루해
211,네명이 봅니다. 30분이 지나자 한명이 잠듭니다. 얼마후 한친구가 나가더니 안옵니다.
212,★ 좀 그렇네..아무리 흡혈귀지만 죄없는 선한 사람까지 잡아먹어야 하는지....
213,그냥 재미가없다
214,내가영화볼줄 모르나...? 오스칼만 봤다 휴
215,잠온다
216,이거 평점을 쓸라고 처음 글쓰는데 이거 진짜 토나오게 재미없다. 욕나온다 진짜...
217,뱀파이어소녀와 인간의 사랑 .. 영화에서 별로 아름답지 않습니다.뭡니까 ;;
218,난 이영화 왜이렇게 어렵지..................?너무 어렵네....
219,지루자체
220,이거참... 슬프다고 포스터에 써놓고 슬프지도 않고 ㅠㅠ
221,냉정히 말해서 1점짜리 지루한 영화일뿐.!! 내생애 최악의 외화 2위!
222,스토리전개영상미개판단순한내용이야복잡하게만들어볼라고후~네이버평점 첨 씁니다
223,진짜 돈아까움
224,돈이 아까운영화. 평점이 이해가 안되는영화. 왜 상 받았는지 이해가 안되는영화
225,지루하다. 소재는 신선한데 처음부터 끝까지 엄청 지루하다 -_-; 긴장감도 없고...
226,진짜 평점보고 완전속았어!!~공포일줄이야ㅠㅠㅠ
227,아 평점 왜케좋치? 남 뛰염봐서 그런가 완전 OOO기 영화던데..;;;
228,별반개도 아까워 ㅡㅡ 이런영화가다있냐
229,별점조차주기싫어완전재미없어
230,난 네이버 평점을 믿었을 뿐이고.............
231,감독이 뭘전하고 싶었던걸까? 어이상실일세~
232,호러와 로맨스 사이 어딘가
233,스무번 넘게 본 영화...
234,여러모로 좋았던 영화... 대사들이 하나 같이 다 예뻐요. 어딘가 기묘하지만 그 기묘한 대로 흘러가는 흐름이 참 좋습니다.
235,약간 지루했지만 보고나면 후회는 없다
236,악순환은 계속되는것인가.
237,박평식이8점준영화다 봐라그냥
238,원작도 리메이크작도 본 입장에서...영상이나 몰입도는 원작이 윈
239,평론가들이 평점 잘준거보니 ㅎㅎ 헐리웃 생각나는 블록버스터급 재미는 없지만 잔혹동홰?처럼 슬프고 애뜻하네요~진짜 할아버지가 불쌍하다 역대급 꽃뱀이라니ㅋㅋ 과연 저둘이 도망쳐서 잘 살수있을까 현실과 너무 동떨어지는
240,스웨덴영화 특유의 색채감과 몽환적인 매력이..유치한 환타지 뱀파이어가 아닌 정말 현실적인 실제로 있을것만같은 뱀파이어 영화에요 너무 재미있고 웃을수 있는 영화는 아니지만 또 보고싶게 만드는 매력이..말로 설명할수 없...
241,느낌좋음.. 희안함 몇번이고 보고츰
242,설국의 쓸쓸함에 젖어내린 핏빛 눈물
243,환장하겠네 기대하고 봤더니만
244,해도해도 너무했다 흡혈귀영화인거 같은데 정말 10개준사람들 이해가 안되는 영화ㅡㅡ
245,그렇게 사람 막죽이면 안되지이~~ 공포인 줄 모르고 봤다가 낭패본 영화!
246,보고 난 후 굉장히 기분이 나쁜 영화
247,이해되지 않는 평들...평을 이해할려고 끝까지 봤지만 역시 아녔다...공포영화일뿐
248,보지마세요....왠 겨울에 뱀파이어...
249,지루함..돈아까워 죽을뻔 뭐가 슬프다는건지
250,평점에 낚이지 마세여 친구한테 추천했다 욕 OOO 먹음
251,기대를 너무 했나봐...씁쓸하긴 한데 아름 답진 않군요 둘의 사랑이야기도 아니구요.
252,순백을 적시는 피처럼 서로가 물들었다
253,타인들 목숨값은 참 싸. 둘만의 사랑이 지구중심되어 돌아가야 속이 풀리나봐.
254,단지 살인을 미화한것일 뿐 주인공은 나중에 그노인처럼 노예가 될거란거... 뻔하네요
255,솔직히 영화자체는 그닥재밋진않은데 특유의 어둡고 음산한분위기랑 잔잔하게 드마라처럼흘러가서 봐줄만한거지 재미만놓고보면 별로잼없음
256,사냥하기 귀찮은 게으름뱅이 뱀파이어의 제2의 노예찾기
257,아름다우면서 슬픈 영화
258,감동도 재미도없음..ㆍㆍ
259,인상적으로 본 기억이 있어서 뒤늦게 평점 남김
260,정말 잔혹하지만 그것마저 사랑의 일부분으로 보이게 만드는 감독의 능력.
261,아이들의 순수한 연기를 볼수 있어서 좋지만 이도저도 아닌 장르..
262,슬프고 아름다운 이야기음악 영상미 연기 다 너무 좋다..
263,겨울이 오고 차가운 공기가 느껴지면 생각나는 영화
264,소설이 원작이예요 영화가 원작이 아니라...다들 남주를 할아버지처럼될까 생각하는데 둘은 달라요 할아버지는 첨부터 짝사랑이엇고 xxx기질 땜 회사서 쫓겨나서 사실상 윈윈이예요(이미 나이 먹은 상태서 만나고 기질땜 여주...
265,
266,2008년 스웨덴판이 헐리웃판 작품보다 차갑고 인상적이다
267,
268,순수한사랑 얘긴줄알았다가 장르가 공포인줄모르고 조금 식겁  ? 그치만 기억엔남네요
269,영화 라스베가스를 떠나며가 생각난다. 두영화의 공통점은 그럼에도불구하고 사랑하는 두남녀.  렛미인의 오스칼은 아직 어리기 때문에 이엘리를 사랑한다고 단정짓기엔 무리가 있다. 가족도 선생님도 친구도 아무도 진정 곁에 ...
270,이 영화의 처연함과 아름다움을 설명하지 못해서 괴롭다.
271,
272,뭐랄까. 스웨덴 제작이지만 구소련 특유의 쓸쓸함
273,
274,
275,
276,끝이 허무했지만 여자와 남자아이의 순수한 사랑이 기억이 남네요~~
277,
278,나랏말쌈이 중국에달아
279,
280,이엘리는 이엘리대로
281,여름에 보는 게 아이러니
282,눈이 와
283,비정한 피의 세계와 열두살의 순수한 사랑이 묘한 동심을 그리며 만들며 아름답게 엮여있다
284,영상. 연출. 연기. 음향 a++++
285,최고 그냥 최고. 원작 소설을 읽고 싶어졌다.
286,살면서 이렇게 여운이 크게 남는건 처음이다정말 내 인생영화다
287,재미적 측면에선 리메이크가 더 낫고 예술적 측면에선 원작이 더 낫다
288,겨울되면 생각나는영화 ㅎㅎ
289,뱀파이어의 능숙한 어장관리
290,평생 잊혀지지 않을 걸작
291,빛이 사라지면 너에게 갈께...무섭다기보다는 차갑고 서늘해지는 느낌...마지막엔 웬지 슬프다...
