,content
130,보는데 계속 심장 쫄깃쫄깃 하면서 봤네요 숨쉴틈을 안주는거 같아요 깜툭튀 나와서 당분간 안나오겠지 하고 봤다가 엎드려서 기도할뻔 ㅠㅠ
131,진심 최악. 처음부터 끝까지 다 예측 가능하고 효과때문에 놀랐지 놀랄 장면은 없을 뿐더러
132,돈 많이 쓴 서프라이즈 진실 혹은 거짓 본 느낌
133,깜짝 놀래키는데는 정말 도가 튼 영화임ㅠㅠ
134,포경수술한사람은 절대보지마세요!
135,와... 가장 공포를 느낄수있는 전형적인 방법
136,역시 믿고 보는 컨저링 시리즈.. 굿굿
137,꼭보세요 노원 롯데시네마 9시 예매 해서 봤는데 옆사람 여자 아가씨 겁나 소리 지르고... 근데 재밌긴하다 추천이요!
138,진짜 너무 재미가 없어요..
139,신부왜이렇게약함 ㅋㅋ
140,핵노잼이다 별로다 하는데 그정도는 아닌거 같고 기대한것보단 조금 못미치는 수준인거 같음(개인적으로) 그리고 제발 무슨 소리나고 사람이 아닌 존재가 부르면 따라가지좀 마라고 해주고 싶어서 미침
141,영화보다가 기절할지도...  개무섭ㅜㅜ 오 주여.. 지렸나이다..
142,이렇게 쉴틈없는 영화는 첨 봄 역대급 컨저링 유니버스
143,재밌고 볼만합니다놀래키는 재주가 있는 거 같은 느낌?
144,따발총으로 쉬지않고 공포를 맞은기분..
145,와.. 진심 영화 시작부터 무서웠어여 ㅠㅠ 발락 등장하는 순간부터 무서워 죽는줄...
146,예고편에 나오는 놀래키는 장면이 다입니당~기대 이하입니당~
147,진짜 대존잼!! 무섭고 쫄깃하고 짜릿하고;; 제임스완 하고 싶은거 다해
148,개봉하기전엔 로튼토마토 들이밀면서 졸작이다 컨저링 기대하지 말라그랬는데 다 개구라임 봐보면 앎 컨저링2만큼은 아니더라도 압도당한다 ㄹㅇ
149,완전별로에요 ....
150,후
151,스크린X로봤는데 돈아깝네ㅡㅡ 진짜 하나도 안무섭고 재미없다 차라리 물괴봅니다
152,새벽 세시에 아무도 없는 집에서 이어폰끼고 앉아 옆에 수녀 실물모양 피규어 갖다놓고 혼자 봐도 하품하면서 잠들 영화 컨저링이랑 에나벨까진 괜찮았는데 영화가 산으로 가다 못해 우리동네 황령산 올라갈듯
153,컨저링을 기대했는데 해리포터 느낌이었다. 무섭지도 않음
154,솔직히 갑툭튀만 몇 번 나왔던 영화.
155,신부님 하는게없냐 무슨...
156,궁금한게 있어요 귀신영화인데 십자가나 성수보다 샷건이 더 쎈이유가 뭔가요?
157,공포영화 매니아 입장에서는 매우 실망스러운 컨저링시리즈였습니다. 악마가 총에 맞아죽고 악마수녀들이 좀비처럼 달려들지를 않나....맨 뒷자리서 실소하다가 나왔네요. 컨저링2에서 이미 발락을 봐버려서 긴장감도 제로. 컨...
158,심야로 보고왔는데..앞부분은 깜놀+무섭 뒤로갈수록 인디아나존스 느낌이라 어처구니없어서 웃음터짐. 마지막 반전도 잘 생각해보면 설정오류..
159,처음 15분만 무섭고 나머지는 진짜 안무서웟음. 에나벨보다 무섭댓는데 이거는 후반부로 갈수록 악마 안무섭고 그냥 괴물영화됨. 그리고 뜬금없는 개그씬도 몰입 안되게 만듬... ㅠㅠ
160,심장부여잡고봄...ㄷㄷ
161,나름 재밌엇던 영화였던것 같음
162,관크두려워서 조조로 봤는데 기대한만큼 재밌었습니다
163,가슴 쫄리는데 눈은 계속 스크린으로 향해 있는게 문제야ㅜㅜㅜ
164,별로
165,정말 안무섭고 신부가 하는일이 아무것도 없는 무쓸모캐릭에 암걸리는줄 
166,오늘 보고왔는데 오프닝이랑 중반까지 괜찮다가 발락얼굴 나온이후로 잠오고 식상해서 하품을 계속했네여 ㅠ 그전까진 괜찮았는데.. 근데 음악이랑 수녀원 분위기 그런건 독특하고 좋아요..
167,보는 내내 무서워서 옆 친구 손 꼭 잡고 보느라 둘다 나와서 손에 손톱자국남....ㅠㅠ
168,무섭진 않은데 뭐가 무성웠어ㅜㅜㅜ
169,발락 이라는 캐릭터로 스핀오프 영화 뽑을생각은 잘했는대 할꺼면 제대로 하자 너무 B급 좀비물 영화 아닌가싶다
170,노잼 재미없고 남는것도없고 기억도안나고
171,ㅋㅋㅋ 보다가 앞에 사람들 소리 질러서 웃음바다됨으아아악!!!!같이 다녀야 한다는걸 가르치는 영화
172,적당히 무섭고 재밌습니다!
173,지림..ㅜ...진짜로
174,요즘 공포영화들이 진짜 잘만드네요 ㅋㅋ
175,사람들 중간에 귀신들 모가지 따닥 퐉 돌아갈 때 그 순간마다 으어어!! 이러면서 존나 순간적으로 소리질러대서 사람들 다 웃음 ㅋㅋㅋㅋ
176,치고 빠진다는 평론가의 말이 정확. 아쉬운 건 스핀오프라면서 대체 어떻게 처음에 등장한 거고
177,별로잼없떵~!@#$
178,컨저링 생각하고 보면 실망함 깜짝놀래키는거 말고는많이 유치함 평점보고 낚겼슴~
179,좋은 소재와 좋은 캐릭터를 너무 허무하게 소모해버렸다. 이 영화는 처음부터 끝까지 분위기로 압도해야한다. 하지만 수녀원의 분위기와 발락의 스토리가 아닌 어설프게 좀비를 가미시켜 기존 공포를 탈피하려는 시도에서 초자연...
180,나 분명 공포 영화를 예매했는데 좀비 영화가 나왔다;;그리고 화면이 너무 어둡다 소리로만 겁 줄려해서 별로고..연출이 무서워야지....악과 선은 상극인데 수녀복 컨셉잡은건 정말 창의적인듯 수녀복이 무서울 수 있구나....
181,아니 이 영화 평점 왜이래???알바들이야???공포영화에 귀신이 샷건맞지를 않나 스토리는 거의 없는데도 불구하고 그 없는 스토리에 개연성이란 것은 존재하지도않고 감독xx 머가리텅텅인가 하고 본 영화인데 이게 무서웠어?...
182,재미없었음  별루 재미없음
183,신부님의 기도보다 샷건이 강렬했던 더넌
184,.... 무서움.. 지리고  쩔음.. 사스가 컨저링 유니버스 ..!!!
185,여운이 남는 공포물.. 다음은 어떤 주제로?
186,대박 무서움 진짜 재밌음
187,기존 컨저링 유니버셜중에 젤 안무서웟음. 공포영화가아니라 좀비판타지물인줄.
188,소리만 요란해서 깜짝놀래키는것 말고는 별로 안무섭고 스토리도 뻔하고 넘 빨리끝나고 허무함.
189,지림..ㅜ...진짜로
190,왜이렇게 무섭냐..날씨까지 도와준듯
191,정말 공포영화 중에 스토리도 탄탄하고 재미있었음.
192,이런 영화 계속 봐 주니까 발전이 없지...스토리 연출은 계속 답습되고 개연성 하나도 없고같은 해 상영된 유전이랑 너무 비교된다
193,수녀나올때마다 현기증...휴
194,뻔하고 재미없고 무섭지않다 귀신 분장부터 코믹
195,이거보고 헤어졋다는 남자의 여자친구분 세상에서 가장 잘한선택입니다. 이것도 못보는 쫄보남자에게 당신의 미래를 맡기지마세요
196,이명박 닮았단 댓글 읽은 뒤부터 하나도 안무서워보이자나 ㅋㅋㅋㅋ 이제 볼려고  하는데  책임져
197,노잼이었습니다  유치하다는 생각이 들었음
198,극장에서 안본걸 다행으로 여기는 1인
199,무서운것도 없고 놀래키는것도 없고 요즘 공포영화 맞나싶을정도로 후진영화
200,하나도안놀라고 졸렸음 진짜잘뻔함
201,걍 노잼인데 이거 보고 왜 무서워하는지 1도 모르겠다
202,진심 1도 안무섭다 개노잼
203,어느순간 웃기다.. 코미디인줄
204,갑자기 환타지물로 전환이 되었다.  악마를 총으로 잡는 장면에서부터 이영화가 망작이라는걸 알았다
205,극장에서 돈주고 보기 아까웠다
206,다소 유치하다고  생각됨
