,content
90,영화는 상당히 잘 만들었으나 딱 거기까지 애초부터 은행이 잘못한걸 왜 크리스틴이 흑마술 받고 온갖 고생 다하며 결국은 그렇게 지옥에 끌려가야 했을까.. 감독님 찍을당시 여배우한테 악감정 있으셨나 싶었을정도로 정말 너...
91,평점 왜렇게 낮음? 최소 8점이상은 되야함 ㅋㅋ
92,고약한 할망구로 인해 사람목숨을 잃는 참 안타까운 영화보는 내내 비호감으로 느껴진 할망구역 배우
93,끝내주게 재밌는 공포영화.귀신놀음이라면 한국에서 제일 많은데 왜 이런 공포영화는 죄다 미국산일까.  망할 피해의식 쩔어있는할망구년 때문에 별하나 뺌
94,영화보다 사람들이남김 평점리뷰가 더재밌네요 ㅋㅋㅋㅋ 영화보는내내 긴장도되면서 황당한장면도나오고 ㅋㅋㅋ 괜찮았어요 킬링타임용
95,집중은 하게 되는 공포영화
96,B급 영화로서의 매력이 있고 나름 괜찮았다.
97,2011年 春/ 재밌게 봤음. 플롯도 흥미롭고 갑툭튀&깜놀도 적절;; ㄷㄷ
98,죄없는 은행여직원을 못살게 구노 ㅜㅜ
99,이 영화는 특이하게 전문가들 평점이 더 높네이 영화 추천합니다느낌이 강력해요재밌구요
100,다운받고보는 거지놈들말 듣지마라. 영화관에서 봐라 샘래이미 진가를 알수있다
101,소소한 즐거움이 있는 공포 영화
102,뻔하고 역겹고 짜증나지만 가볍게 볼 수 있는
103,B급 감성 호러도 이렇게 만들면 재밌음
104,제기랄 주말에 콩국수먹으면서 보다가 콩국수 다 남김 공복에 보세용.주인공이 뭔 잘못이야..대체 불쌍해 ㅠ
105,감독이 오컬트 호러 장르의 대가인건 인정하는데
106,나만 보기 아까운 비운의 명작!
107,샘레이미.역쉬 최고~~
108,이상한 할망구의 저주를 받은 착한 여인의 이야기
109,최고의 오락영화 10번봐도 재밌음
110,내 인생 공포영화임깜짝깜짝 놀라면서 초집중하게 됨
111,웃겼다가 무섭다가 웃겼다가 무섭다가 ㅋ 혼을 쏙 빼놓네 ㅋㅋ
112,ㅋㅋㅋ 너무 욱겨 ㅠㅠㅠㅠ ...ㅋㅋㅋ
113,여주 찍었을때 진짜 고생했을듯... 할망구랑 감독 나쁜넘 결말땜에 2점
114,
115,ㅋㅋㅋ평론가 평점 믿고봤는데 중반부 지나면서 점점 흥미로워지더니 끝나니 감탄하게 한다
