,content
164,알바들 역겹다 지미 싮밢것
165,1편봤으면 2편도 봐야징
166,공포영화인데 웃김 진짜 웃김 ㅎ
167,님들아이거진짜 ㄹㅇOOO기영화에요절대보지마셈....ㅜㅜ
168,역시 아무 생각없이 보기 좋습니다.1의 내용은 조금 떠올려야 보기 편합니다.
169,엄마랑 작별인사 장면 너무 슬프다 ㅠㅠ 3편 기대할게요!
170,ㅋㅋㅈㄴ잼쎀 역시기대를저버리지않는 블룸집 호러코미딘데 눈물까지나왓음ㅠ 취향저격지대로당해부려따♡
171,1편도 공포물로 보았는데 2편은 공포
172,재밌다. 취향의 차이가 있겟지만 극한직업보다 10배정도. 1편을 재밌게 보지 않았다면 상영관수가 적은 관계로 안보았을듯.
173,B급 공포 코미디 영화 ㅋㅋㅋㅋ 그리고 엄마생각많이남
174,장르가 해피데스데이..
175,감동과 웃음과 놀람이 잘 어울리는 영화였어요ㅠㅠ짱재밌어요
176,공포가 아니라 멜로네여^_^ 공포에서 에스에프로 장르변경!
177,ㅋㅋㅋ 여주가 화낼때가 제일웃겨용
178,무섭고 연출을 진짜 잘하신것같다
179,공포 잘못봣는데 이거는 걍 모두를 위한 코믹공포영화임
180,1편 재밌게봤기에 평점이 대부분 좋고 내일 꼭봐야지 ㅋㅋ
181,긴장하면서 볼거라고 예상했는데
182,신선한 공포영화였습니다요ㅋㅋ
183,이거 1편 그렇게 재밌다고 했었는데ㅋㅋㅋ 못보고 있다가 2편 개봉하고 봤는데 전편 안봐도 재밌게 봤어요ㅋㅋ
184,갠적으로 1편보다 더 재밌게 봤다는!
185,흥미롭고 감동적이고 긴장감 넘치고ㅋㅋㅋ
186,1편을 너무 재밌게 봐서 뒷 이야기가 궁금해서 봤는데 이번 편도 진짜 재밌네여ㅋㅋㅋ
187,베이비 미쳤당 개꿀잼ㅠㅠㅋㅋ마성의 영화임진짜
188,앜ㅋㅋㅋ 베이비 채고다
189,이정도면 시리즈 공포 영화중 최고인데?ㅋㅋ
190,대존잼ㅋㅋㅋ 1편도 재밌었는데 2편도 잼네
191,댓글 다 알바 확실해요지겨워서 죽을뻔 했음오그라드는 대사와 말도 안되는 끼워맞추기식 내용.평점 1도 아깝다 진짜.
192,시리즈로 나와도 재밌을 것 같아요
193,아 진짜 졸잼ㅎㅎㅎ넘 재밌음
194,여주가 브리티니 스피어스 닮았다. 어떤 각도에서 보면 못생겼고 어떤 각도에서 보면 존예다. 전형적인 백인들이 좋아하는 미녀타입이라고 본다.
195,여주 인성봐라 마지막에 자기 도와준 친구를 무한루프에 가두는건 너무한거 아니냐 ?
196,걍 최악입니다평점알바생들한테 속지마세요
197,생각보다 너무재밌었어요 ㅎㅎ
198,뻔할 수 있는 스토리를 잘 살려 지루하지 않고 즐겁게 볼 수 있었습니당
199,블룸하우스표 공포영화는 항상 믿고 보는 편..
200,자살방법 미쳣나 진짜 ㅋㅋㅋ
201,여자 완전이쁘고 섹시한데 늙었다고 비꼬는건 페x쿵쾅들이겠지
202,노잼이야 기대이하야 너무돈아까보
203,이곳 댓글들이 정말 공포임.. 무섭다 이 영화를 봤으면
204,핵노잼 기대 너무 했나 억지로 웃기려 하는거 핵노잼 1편이 훨 낫다~~~~
205,1편안보고 봤는데 정말별로네여1편은재밌었나봐요?
206,제발보지마세요 쓰레기야
207,그런 좋은 캐릭터의 여주를 가지고 이렇게 영화를  망쳐놓으면 ㅇ ㅓ떡합니까 화가난ㄷ다.
208,아니 이게 뭐야 ㅅㅂ 아오 1편 너무 재밌게봐서 2편 솔직히 기대좀했는데 러닝타임 10분 지나자마자 모든것이 박살났고 그냥 1편 따라서 다른형식으로 만들지..
209,평점 미쳣냐들 ㅡㅡㅁㅊ
210,너무 산만하고 유치했어요. 스릴 재미 감동 다 잡으려다가 다 놓침.
211,올해 최고의 영화'빨리 가서 보셨으면 합니다.
212,댓글 진짜 다 알바인가 부네요 ㅋㅋㅋㅋ과학자들이 좋아할것 같은 이과생들이 좋아 할거같은 장르도 모르겟는 영화 ㅜ 공짜로 보여줘도 보다가 끌각입니다...
213,이건진짜 알바들천지네ㅋㅋㅋ
214,여기 다 댓글 알바 확실합니다 .. 1을 보고나서 너무 재밌었기에.. 많이 기대하고 봤는데 정말 실망이었어요 .. 코믹
215,A마이너에서 B급으로 전락
216,진짜 어느 영화보다 여주인공이 바빠보이는 영화 ㅋㅋㅋ 기대안하고 보면 볼 만 합니다
217,별로 기대 안했는데 꽤 재밌게 봤네요!
218,신선하고 재밌었던 공포영화
219,2는 별로 기대 안했는데 코믹
220,ㅋㅋㅋ1편을 어지간히 재밌게봐서 2편은 사실 쪼끔 실망하면 어쩌나 걱정했는데 궁금증도 해결되고 재미도 있었습니다
221,아침 조조로 칠천원 주고 봤는데 조조로 보길 잘한듯 만약 만처넌 주고 봤으면 아까웠을듯ㅎㅎ
222,공포도 SF도 학교드라마도 치정극도 아닌 그저 똥같은 영화  억지 신파는 서양에도 예외없구나
223,1편만 볼걸 그랬다 양자역학이란 노잼 소재는 왜 넣은 것이며 공포영화에 맞지 않은 가족애는 왜 추가한거야?
224,1편을 너무 재밌게 봤었어요 너무 웃기고 무섭기까지한 진짜 신박한 영화였거든요! 2편은 정말 내용도 뒤죽박죽에 조금 억지스럽고 웃긴장면도 그닥 없구 무섭지도 않았어요.. 실망스러운 작품이었습니다 개인적으로ㅜ
225,댓글알바오져..여기영화끝나면 다들 재미없어서 웅성거림
226,재밌다니.. 말도안돼.... 내가 공포영화를 본건지 ..과학영상을 본건지 ..
227,아오 슈발 개노잼 진짜 처음 평점 뭔데 ...이건 망해야댐 자금 영화보명서 빡쳐서 쓴다 ㅋㅋ개노잼~
228,1편보고 기대감에 봤는데.... 이건 아닙니다스릴러도 아니고 공포도 아니고쟝르 설정 잘못한듯.. 극한직업 보고 증인은 안땡기는데 영화는 보고 싶으신분들은 보세요.. 원래 평점 안남기는데 여기는 알바가 과하게 많은거 ...
229,형보다 나은 아우 없다 역시 1편만 재밌다
230,쓰레기 진짜 개쓰렉ㅠㅠ2019 최악의 영화...스토리는 산으로 가다못해 대기권 뚫고 우주로 알바한테 당하다못해 눈탱이 밤탱이..
231,내가 여주인공이라면 감독부터 죽이고 싶다ㅋㅋㅋ
232,1편보구 기대하고 개봉날 조조로 달려가서 봣는데 하..개실망 끝날때 설마 끝이야?라고 생각할정도루 존나 허무하고 개연성 1도없구 재미두 드럽게 없는 개망작 쿠키영상에서3편나온다 할때 웃음터짐 ㅋㅌㅋ1편 장점 1도없고...
233,개연성 없이 갑자기 sf물이 되는 기적 쿠키영상은 3탄을 의미하지 말길
