,content,,,,,,,,,,,
96,그냥 볼만 해요 손으로 다가리고,,,,,,,,,,,
97,알바님들 양심이라도있으세요 별점1개도아까움진심,,,,,,,,,,,
98,이런류에선 컨져링급 공포영화 치곤 잘살렸음대신 심리적으로 쪼이고 긴장하고 충격받는건 없고 그냥 심장만 아프게함 ㅎㅎ 컨저링류,,,,,,,,,,,
99,자리를 뜨지마라.쿠키2개가 있어요.보고나오니 소름이 돋음.,,,,,,,,,,,
100,마지막에 애나벨1이 왜그렇게 시작했는지 떡밥풀어준거에서 소름돋았다..갓,,,,,,,,,,,
101,영화는 안무섭고,,,,,,,,,,,
102,너무 놀라서 얼어붙어있는데 옆에서 계속 팝콘 날리길래 주워먹음,,,,,,,,,,,
103,오늘 집에 있는 인형 다 버려야겠다.,,,,,,,,,,,
104,뮤섭다진짜무송워ㅠㅠ,,,,,,,,,,,
105,중반까진 걍 그랬는데 후반부엔 심장쫄깃. 비도 오는데 심야로 봐서 집올때가 더 무서웠음.,,,,,,,,,,,
106,컨저링이나 인시디어스에서 보여준 나름의 스토리와 개연성을 갖추지 못한 듯 합니다. 깜짝깜짝 놀라는 장면은많지만 점차 스토리가 완결되어가는 느낌이 아니라 급하게 끝을 맺는 느낌이라 보며 놀라면서도 헛헛한 기분이 듭니다...,,,,,,,,,,,
107,평 너무 과장됐다. 그렇게 안무섭고 어찌어찌 시간지나가다보니 엥 설마 이제 거의 끝나가는거야?라는 생각이 드는 순간이 오는데 그러면 정말로 영화가 끝남ㅋㅋㅋ 시간가는 줄 모르고 봤긴했는데 다 보고 남는 장면도 없고....,,,,,,,,,,,
108,팝콘 사들고 들어가서 먹을 새는 커녕  먹을 생각도 못하고 잇다가 고대로 다시 가지고 나와집에서 얼빠진 상태로 팝콘 먹엇어요,,,,,,,,,,,
109,팝콘 안사가셔도 되요 바닥에 많을테니까,,,,,,,,,,,
110,다음 스토리연계 생각해서 이어간건 괜찮은듯,,,,,,,,,,,
111,그냥 혀과음으로 놀래게 하는영화,,,,,,,,,,,
112,웬만해선 진짜 무섭더라도 꾹 참고 보는데 이건 보는 내내 나갈까란 생각만 함.. 강심장들 꼭 보세여,,,,,,,,,,,
113,진짜 미쳤냐 보는 내내 저절로 눈 가리게 됨....,,,,,,,,,,,
114,재미없습니다 노잼..,,,,,,,,,,,
