,content
137,다들 똑같은생각하셧네요 여자하나 못관리하냐 찌질이새끼
138,목욕탕에서 마대자루도있고 무기될만한거있을탠대 자동차키로 눈쑤시냐?
139,오지랖이 과하면 이렇게 된다
140,씹찐따황정민이다리OO한테도망다니는개그영화ㅋㅋ불사신절름발이 ㅋㅋ1점도아까움
141,여자하나못잡냐ㅋㅋ
142,억지로 잔인 한듯 보이려고만든 영화?..황정민땜에 봤다
143,섬뜩한 몇개의 장면 몰래집에 왔을때 눈앞 칼로쑤실대 그것만 괜찮음.
144,......말이 안나온다. 감독은 원작을 읽긴 한거냐...
145,세상에.  원작을 완전히 망쳐놨음...ㅠㅠ
146,개 ㅅㅂ 진짜 이딴영화는 맍들지 말아야한다 빵점이없네
147,뒤가 완전 해도해도 너무할정도로 개판
148,팥없는 호빵이 무슨 맛이 있으랴
149,뭐야 재미없어 황정민 캐답답 -_-
150,지루하고 현실성이 많이 떨어지고 개연성도 낮음.
151,황정민이 왜 그렇게 유선한테 당하고만 있는지...ㅡ.ㅡ;; 좀 어이가 없었음.
152,섬뜩 했음.
153,사이코 아줌마 왜 안죽어
154,초반엔 그럴 듯했고 흥미로웠는데 뒤에는 막장
155,사이코패스는 정신이 이상한 것일 뿐 육체까지 초인적이진 않아
156,소설에 대한 모욕
157,스릴러인척 시작은 하나 유치한 슬래셔 무비로 끝남.
158,원작소설을 이렇게 망쳐놓나? 소설 읽으면서 느꼇던 긴장감을 전혀 느낄수 없었음
159,너무 심한 억지설정에 깜짝 놀랐음 ㅠ
160,중간중간에숨어있는개그요소...뻔한스토리...개그요소를찾는재미...
161,멍청하고 한심하다. 볼 가치가 없는 영화.
162,싸이코패쓰를 불사신으로 만들어버린 영화. 여자하나 못이겨서 죄다 찌질거림
163,보다가 지루해서 잠들어버렸다
164,이게 왜 망했다는지 지금보니 알겠구만 ....어이가없는 영화
165,조잡하고 연출할말이없음... 억지다
166,다시 보니까 열라 허접하다 ㅋㅋㅋㅋㅋ
167,모든게 엉망진창 근래 본 한국영화 중 가장 잔인한 영화
168,싸이코연기잘하네
169,유선이 좋아서 10점
170,무서웠는데 난..
171,싸이코패스의 무서움을 느낄수 있었던영화...나쁘지않았다...
172,잼
173,영화 한순간의 긴장감 증폭
174,볼만했음...
175,그냥학교에서볼만했어요
176,정말 재밌게 봣다 ㅋㅋㅋ 유선
177,볼만해요
178,볼만하던데
179,유선의 연기력만큼은 최고였다 김서형씨 은근히 기대했는데 별다른 활약은없었내
180,원작을 못봐서
181,현실감있는 극한공포
182,범인이 의외넹...--ㅋ 잘봤음!
183,한국영화치고 잔인함. 스토리가 괜찮아서 한시도 눈안떼고 본 영화
184,절라잔인하기만.....ㅜㅜ
185,소재굿
186,이래서네이버평점은밎을게못되ㅉㅉ재미만있구만
187,나는 새벽 3시부터 보기 시작햇는데 진짜 잼나더라..
188,연기자들연기완전소름돋고..내용정말 참신.평점낮은이율모르겟네.만점이아깝지않다
189,유선님이 너무 무서워 ㅠㅠ 꿈에 나올까 두려워!
190,유선이 황정민 집에서 전등 켜는 장면에서 온 몸에 전율이...
191,유선의 싸이코패스 연기가 축! 후반부 카메라 워크만 역동적으로 했다면..
192,모든게 다 완벽했다. 무서운건 더욱더 완벽했다.
193,끝난듯 끝난듯 한 스토리. 연기는 볼만함. 황정민 보다는 유선
194,괜찮은데 왜들 그러지?-_-+;;;이상하네;;;
195,신이화란 배우의 연기가 돋보이는 영화다
196,우리나라 공포영화 치고는 괜찮음.
197,초반의 지루함을 상쇄시키는 중반이후 사이코패스의 섬찟한 서스펜스..
198,말도안되는 억지부분이 많았는데..한국공포영화치고는 괜찮았다.
