,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,훌륭한B급 SF영화다. 외계인이 되서도 여자와 아이를 지키려는 주인공의 모습에서 오늘보고온 신과함께의 억지감동보다 더 뭉클함을 느꼈다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,마지막 엔딩크레딧 컨셉이 너무 좋았다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,무인기 전투씬만으로 이 영화는 기본점수는 먹고 들어간다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,낮은 펑점은 런닝타임 내내 단 3일동안의 얘기를 담았을뿐이란걸 간과하시는듯 너무나 강한 외계인 무기력한 지구인 그러나 하이브리드?의 탄생으로 2편부턴 전혀 새로운 국면이 전개될듯... 저예산을 생각한다면 첨부터 영화...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,현실적인 외계침공 묘사.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,하나 확실한건 6점대 영화는 아니란거다... 후속작을 얼마나 잘뽑느냐의 문제기도 하지만 초저예산으로 이정도 사실적인 SF 뽑기 힘들다.. CG가 저예산 티가 나지만 그렇다고 6점대의 스토리는 아닌거같음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2탄을 준비하는 단계의 영화로 보면 괜춘.마지막 반전이 대박임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,재미 있게 잘 봤습니다. 후속작이 꼭 나오길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,재미만 있던데;뭘로 까는 거지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,우주의 무뇌충들이 찾아와 인간 뇌를 강탈하는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,여기는 평점란이지 스포란이 아닙니다 여러분...ㅡㅡ(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,7점대 중반정도 레벨. 지금은 너무 낮다...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,난 이거 완전 잼나단데 왜케 평점이 낮지... 아무튼 후속작 빨리 나오길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,나도 이거 되게잼있게 봣는데 평점 개극혐이네.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,평점이 너무 낮네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,난 진짜 잼있게봤는데~~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,허접하더라도 속편내놔!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
