,content
152,영화는 전체적으로 나쁘지 않았다고 본다. 특히 코즈믹 호러에 의해 짐승보다 못한 존재로 변해가는 인간의 모습을 잘 표현했다고 생각한다. 하지만 애새끼들... 아
153,진짜 일어날것만 같아 소름돋는 영화
154,월드워z 톰크루즈버전
155,외계인보다 애들이 더 끔찍함 보는 내내 발암 유발
156,오늘 영화. 봤는데. 오빠.동생 너무. 열받음
157,중2병은 동서고금을 막론한다.
158,결말까지 맘에 들고 현실적인 외계인 침공 영화
159,발암 캐릭터 3인이 없었다면...  긴장과 스릴이 극대화 될 수 있었을까? 톰 혼자서? 아니라고 본다. 다시 봐도 재밌는... 최고의 스릴러다
160,소리 꽥꽥 지르는 나시티 아재 천국 보내드릴때 통쾌함
161,외계인이 뭐 땜에  다 죽어가는건데?  지구 대기환경과 맞지 않아 죽었다는  개소리는  어떤생각에 나온거냐? 댓글 참 어처구니 없어서 ㅋㅋ  글고  종말이 가까운상황인데  보스턴만  멀쩡하고  엄마랑  집안식구들은 ...
162,이런게 영화지. 스필버그의 영화는 언제나 꿈 을 선물해주는듯하다.  뭔가 이것저것 꼬아놓아 명작인척 거만떠는 영화들과는 레벨이 다르다.
163,아들새끼 진짜 존나 패고싶네;;; 적당히해야지. 빡쳐서 못보겠다
164,심장쫄깃쫄깃 긴장감 장난아니얌.. 왜 평점이 낮은거지; 재미있는데 잘만든것같은뎅..
165,재밌음.. 마지막 결말을 풀어가는 과정이 너무 급박한것 빼고는 완벽..지금 나오는 sf영화에 OOO 않음
166,별 시덥잖은 영화임 자식만 짜증나고
167,오빠 ㅅㄲ 기때기 ㅈㄴ쳐주고싶네
168,캐릭터 하나하나가 공감이 안감...
169,아들내미 딸내미 소리밖에 없군 ㅋㅋ 저런 상황에서 애새1끼들이 정상이길 바라는게 이상한거지 안그래?
170,로비(아들)같은 캐릭터는 대체 왜 만든거임? 그리고 아내있는 동네는 어떻게 그렇게 건물도 멀쩡하고 다들 깔끔하게 무사한지 감독한테 물어보고싶네
171,애들이 너무 답답함...
172,딸과 아들 너무 징징대고 땍땍데서 못보겠다. .
173,첨부터 애들을 죽였어야된다
