,content
146,훌륭하구만. 누군가의 추천으로 반신반의 하면서 봤지만 상당히 혁신적인 SF인듯.
147,촉수달린 외계인이 더 사람다워 보인다
148,결말이 정말 마음에 드네요재미있게 본 잘 만든영화
149,2014년도에는 반드시    프라운이 돌아오길 바랍니다   3년은 이미 지났다구
150,진짜 잼나게 본 영화!
151,유지나 너는 평론가가아니다 그냥 죽어라 OO 같은 년아
152,사람의 감성을 불러일으키는 영화..비록 외계인으로 변했어도 아내를 사랑하는 마음은 변한없다오
153,모든면을 갖춘영화. 인간의이기심을 한층 잘표현했고 인상적인 영화였다.왠만하면 본영화 다시 안보지만 이영화는 2번이나 다시봤다.
154,재밌었음 ㅋㅋ
155,솔직히 주인공이 크리스토퍼를 방망이로 기절시킨부분에서는 개연성이 좀 떨어지는것같긴햇지만 그것을 커버해준 영화속 의미와 교훈 또 리얼리즘
156,본인이 보고 있는 세상 만큼 보이는 영화
157,3년뒤 오기로 하곤 아직도 안옴
158,왜 약속안지켜?
159,... 그냥 시간 때우려고 그냥 외계인 영화인줄 알고 다운받아 봤는데... 보물 영화를 찾아버렸다... 하
160,애기 외계인 졸귀.. 마지막에 장미 접는 비커스 안쓰럽..
161,유일하게 속편을 기대한 영화중 하나임 주인공이 감염된상태에서 외계인에서 인간으로 돌아가기위해 치료제를 기다리며 쫓기는장면 아직도 생생함
162,3년만 기다리라며ㅠㅠ
163,10년전 영화임에도 전혀 촌스럽지도
164,외계생명체 관련 영화중에 단연 최고.
165,이거 후속작 나왔음 좋겠다..이후의 이야기그게 아니라면 차라리 주인공의 기억이라도 지워주지 ㅜ
166,10년째 기다리고 있습니다.  크리스토퍼가 돌아오길....
167,처음부터 끝까지 영화를 잘 만들었다. 몰입도도 좋고 캐릭터의 성격구현도 좋았으며 액션보려고 영화봤다가 감동먹고 돌아서는 영화. 한국에서는 흥행하기 어려웠을 수도있지만 이건 보고 후회하지 않을 강추할 수있는 영화입니다...
168,네티즌 평점에서 놀라고 평론가 평점에서 또 놀라고 영화제 수상에 한번 더 놀라고 이게 대뷔작이라는데 크게 놀란다
169,인생영화다. Sf의 역작
170,어제 케이블 채널에서 네티즌 평점 9점 이라고 써져있던데 9점이 안되네?!! 평점 올려줘야지~ㅎㅎ 개봉 당시 영화관에서 봤고
171,트랜스 포머2/2억 달러.디스트릭트/3천만 달러의 제작비 차이임에도 몰입도
172,인종차별이란뻔한주제를 외계인에 빗대어 표현해 뒤틀어서 역대급띵작sf물만듬 ㄹㅇ 감독개천재인듯 긍까 이제 10년이지났는데 후속편언제나와? ...
173,돌아온다며..ㅠ 왜아직도 안와
174,마지막 장면을 제일 좋아한다.변한건 겉모습 뿐. 휴지로 사랑을 표현하며 여전히 아무것도 포기하지 않는다.
175,마지막 꽃 만들고 있는 주인공의 모습은 내내 안 잊혀진다. 수작이네.
176,진짜 아직까지도 최고라고 생각되는 영화
177,크리스토퍼
178,10년이 넘게 지났지만 지금도 가끔 후속편 소식이 없나 찾아보고
179,내인생 최고의 영화중에 하나.후속은 언제 나오는건지...
180,이렇게 개성적인 영화가 있을까???후속작이 바래지면서도 막상 나오면 흔한 SF영화가 나올거 같아 걱정이되서 1편으로 끝났으면 하는 영화이기도 하네요.
181,11년째 기다리고있다 감독놈아언제 돌아올꺼냐?
182,3년뒤에 고쳐주러 온다더니 아직까지 감감무소식
183,넷플릭스에서 우연히 본 게 미안할 만큼 좋은 영화였습니다. 명작이네요.
184,근데 2는 나오긴하나요? 현기증 난 단말이예요.10년을 넘게 기다리는데.
185,언제오냐 크리스토퍼!!!
186,크리스토퍼 아직안왔노?
187,감독이 진짜 잘 만들었네..
188,일반 외계인영화가 아니고 처음엔 걍 무슨 B급영환줄 알았으나 갈수록 집중해서 보게되고 짠하기도했다. 훌륭한 영화다.
189,본지 10년이 흘렀것만 아직도 생생하다.  영화를 구성하는 모든요소에서 최고였다. 어느것 하나 손대고 싶은 것이 없다.
190,10년 전 영화관에서 봤어야 했는데  아까비
191,10년 만에 다시 봤는데 정말 많은 생각을 하게 만드는 수작입니다. 후속 나오길 기다려요
192,진짜2편만들면 웃통벗고 길거리뛰어다님
193,다시봐도 최고! 3년뒤 돌아온다더니 왜안오나요?ㅠ
194,이영화를 보는 내내 인간이 제일 역겨웠다
195,대작 환경에서 만들어지지 않은 sf대작 영화다
196,마지막 장미 ㅠㅠㅠ 짠하네요
197,외계인 눈을 집중해서 보면 진짜 너무 인간과 똑같은 것 같아서 소름이 돋고 불편할 정도. 게다가 영화의 상황이 현실과 별반 다를 게 없다는게 함정
198,크리스토퍼 돌아와요옹!!!
199,이 영화를 10년이나 지나서야 보네요.. sf싫어하시는 분들도 보면 재밌을거에요 인생 영화중 하나
200,난 이영화가 슬픈 영화중 하나....TT
201,후속작은 언제 나오는겁니까다시 봐도 정말 재미있습니다
202,티비서 하길래 오랫만에 다시 봤는데 졸라 재밋네
203,후속편 빨리 내놔라 기다리다 목빠지겠다
204,처음 케이블에서 접했을땐 엔딩에 충격을 받아 한동안 멍하게 있었고 그 담에 볼 때는 인간이란 종족의 잔인함에 토할 거 같았음 있는 놈들 힘 있는 놈들은 만족을 모르는 것들이란 걸 새삼 깨닫고 나 또한 인간 종족이니 ...
205,명작명작명작명작명작
206,2011년에 보고 오늘 남편이랑 또 봤는데 여전히 최고의 명작!! 인간들이 하나같이 다 혐오스럽고 욕나온다. 이 영화보면 인간혐오가 여운으로 남는다. 크리스토파와 그 아들이 더 인간답고 의리 사랑이 넘친다.
207,영화 역사의 한 획을 그은 SF명작 9년이 지난 지금도 몇번을 봐도 질리지 않고 새롭다
208,진짜 생각없이 봤다가 많은 생각을 가지고 끝난 영화
209,최고였습니다. 주인공은 좀 패고싶었지만 제가 본 영화 중에 최고였습니다.
210,진짜 이 영화 너무 잘만들었다.몇 번이고 다시보기한다.후속작은 언제 나오나 벌써 10년이 다되어 간다.
211,베플이 잘 써주셨네요 말 그대로 영화계 오래 남을 명작
212,내 인생에 최고의 영화 중 하나
213,이걸이제야보다니..진짜의미심장한최고SF영화입니다.
214,무슨말이 필요할까. 최고다
215,외계인 영화에 대한 새로운 천재적인 감독의 시각
216,SF로서 갖춰야 할 모든것을 제대로 보여준다. 누가 그랬던가 SF는 시각적인 영상미만 갖추어도 충분하다고
217,재밌긴 한데 뭔가 찜찜한 결말이다 ㄱㅡ;;
218,정말 수작이네요.이걸 왜 이제야본건지.빨리 후속작 나오면 좋겠네요.
219,3년 이따 온다더니 이제야 오냐
