,content,,,,,,,,,
178,난 진짜 영화보는거 개 까다롭고 평점도 짜거든? 글고 SF영화는 유치해서 안보고 범죄스릴러 즐겨보는데..볼만하다 이정도면 별 일곱개정돈 준다 봐라 고민말고. 형만믿어라,,,,,,,,,
179,아사버터필드의 연기가 영화를 잘 살려주고 있고,,,,,,,,,
180,이 영화는 명작중의 명작입니다.,,,,,,,,,
181,백만? 천만? 우물안개구리 한국영화보다야 훨신 흥미있게봤습니다,,,,,,,,,
182,정말 재밌었어요.  영화만으로도 충분한 눈요기와 사색을 즐길 수 있었지만 원작이 더 뛰어나다길래 소설도 시켰어요.,,,,,,,,,
183,재밌다 마지막에 실전이란걸 알고 자신으로인해 한종족과 투입된 병사들에게 미안함과 자괴감을 느끼는장면이.너무안타까웠다 다만 마지막에 외계인의 알?을 가지고 갈때는 그후이야기도나왔으면 좋아으면하는 아쉬움..,,,,,,,,,
184,반드시 필연코 꼭 봐야하는영화,,,,,,,,,
185,왓치맨 사태가 여기서도 나타났네 ㅉㅉ 스토리 자체도 흥미 진진하고 내용도 의미심장했다. 왓치맨에 1점 준 초딩들이 여기도 난무하는구만,,,,,,,,,
186,최.... 최고입니다.... 마지막 반전도... 가슴아린 결말도 넘 좋으네요!!,,,,,,,,,
187,시간날때 보면 좋은영화!! 재미있어요,,,,,,,,,
188,전쟁물 생각하고 가시면 안됨. 우리나라는 SF불모지라 잘나가라고 SF물은 액션 전쟁물처럼 광고함.ㅇㅇ전쟁 액션 영화가 아니라,,,,,,,,,
189,왜 베스트 평점들이 다 이런 생각없는 사람들인지 모르겠다. 내용 이해를 할 생각도 없는건가.. 2~3번 정도 다시 돌려보면서 영화속에서 나오는 의미들좀 이해해봤으면 좋겠다. 이 영화 시리즈로 나오길 기대한다.,,,,,,,,,
190,ㅎ진짜 재밌게 봐여염 ㅋ,,,,,,,,,
191,전체적인 느낌은 꽤 밋밋헌데 마지막엔 괜찮음,,,,,,,,,
192,이야기가 납득하기 힘든 부분도 있지만,,,,,,,,,
193,엄청재밋게봤어욯ㅎㅎㅎ,,,,,,,,,
194,애초에 책이원작 보지않았다면 영화의 재미를 잘 몰를수도 있다 하지만 그냥 영화만 봣더라도 스토리도괞찮고 연기력도 문제없다 그리고 믿분들중에 중2병 같다고 하던데 난 전혀 못느꼇고 액션도 좋다,,,,,,,,,
195,너무 안타깝다.. 이런 영화를 놓쳤다는 것이.. 평점만 보고 극장을 안갔는데 후회된다. 주인공역의 연기만으로 충분히 제값을하는 작품이었는데...,,,,,,,,,
196,적당하다 폭력의 정당성에 관해 느낀점이 많다,,,,,,,,,
197,마지막 반전이 좋네..,,,,,,,,,
198,원작에 비하면 당연히 건너 뛴 부분이 많지만 그래도 상상했던거와 비슷한 느낌으로 가는 것 같아 괜찮았음,,,,,,,,,
199,기대 안해서 진짜 재밌었당 간만에 정말 역동적인 영화보고 왔어요 재밌게 잘 봤구만 왜 캐 평점이 낮은거야 . 이정도  아니에요 정말~  어린애가 연기 정말잘하네요 근데 찾아보니 주인공이 나이 좀 있네  체구가 작아서...,,,,,,,,,
200,재밋던데 왤케 평이 안좋지 취향 차이인가 유치하다라는 생각은 안들던데,,,,,,,,,
201,재밌게 봤어요 뭔가 생각을 하게만드는 영화네요,,,,,,,,,
202,그저그런 킬링타임용 SF영화이겠지 했다가 한방먹음. 생각지도 못한 수작.,,,,,,,,,
203,재미있구만!   아주 볼만 합니다!,,,,,,,,,
204,하도,,,,,,,,,
205,변성기에 접어든 아사 버터필드! 이 영화의 장점은 SF 주인공으로 어린이들을 기용했음에도 어린이들 특유의 유치하고 과장된 연기를 절제했다는데 있다.,,,,,,,,,
206,엔더스게임 개인적으로 게임을 안좋아하는데  영상좋고 스토리갠찮고 볼만햇다. 결말좋다.,,,,,,,,,
