,content,,,,,,,,,,,,,,,,,,,,
135,그때는 너무 재미있어서 계속 봤는데 이제는 토니가 그리워서 계속 본다..,,,,,,,,,,,,,,,,,,,,
136,MCU의 개국공신이라고 불리우는 로다주의 제 2의 인생 개막에 빠질 수 없는 영화. 로다주가 곧 토니 스타크이고,,,,,,,,,,,,,,,,,,,,
137,전설의 시작 과 끝 을 함께한 영화,,,,,,,,,,,,,,,,,,,,
138,이 영화 개봉당시에 극장에서 봤는데 정말 너무 재밌었고 신선했고 새로운 히어로 캐릭터에 놀랐었는데 지금 다시보니 그냥 짠하고 모든게 이해되고 눈물까지 나올뻔했다. 아이언맨1변의 마지막 대사가 엔드게임의 레전드 대사가...,,,,,,,,,,,,,,,,,,,,
139,이땐 마냥 강철갑옷입은 사내가 나오는 전형적인 할리우드영화인줄알았는데 이제와서보니 전세계를 뒤흔드는 영화시리즈의 시작이자 중심이네,,,,,,,,,,,,,,,,,,,,
140,트랜스포머1과 아이언맨1은 레전드,,,,,,,,,,,,,,,,,,,,
141,슬프다 이제와서 마블에 빠졌다는게... 더이상 토니스타크가 있는 마블 영화를 영화관에서 못 보잖아...ㅜㅜ,,,,,,,,,,,,,,,,,,,,
142,The beginning of the legend,,,,,,,,,,,,,,,,,,,,
143,아이언 맨. 다시 이런캐릭터가 있을 수 있을까,,,,,,,,,,,,,,,,,,,,
144,마블의 큰그림 아이언맨 1... 벌써 어벤져스 엔드게임이 나왔다니 믿기지가 않다,,,,,,,,,,,,,,,,,,,,
145,10년 뒤에 봐도 재밌다,,,,,,,,,,,,,,,,,,,,
146,처음 볼땐 지렸고 다시 볼땐 눈물이 났다사랑해요 토니스타크,,,,,,,,,,,,,,,,,,,,
147,이 영화를 아무 것도 모르는 상태에서 영화관에서 다시 관람하고싶다. 완벽한 전개였고,,,,,,,,,,,,,,,,,,,,
148,내 초등학교의 시작부터 고등학교의 끝을 함께한 아이언맨... 고마워요. 평생 잊지 못할 추억이 될거에요.,,,,,,,,,,,,,,,,,,,,
149,아임 아이언맨너무 즐거웠어요 잘가요 아이언맨,,,,,,,,,,,,,,,,,,,,
150,개인적으로어벤져스   최애 캐릭터였는데...그동안고마웠습니다,,,,,,,,,,,,,,,,,,,,
151,I'm Ironman.,,,,,,,,,,,,,,,,,,,,
152,마블 캐릭터들 중 내 최애캐는 아이언맨이다. ㅠ,,,,,,,,,,,,,,,,,,,,
153,2008년 테이큰과 함께 미중년의 매력을 알려준 영화였는데,,,,,,,,,,,,,,,,,,,,
154,이 모든걸 당신이 만들어낸겁니다 아이언맨,,,,,,,,,,,,,,,,,,,,
155,마블  통털어서 개인적으로 아이언맨 1이 제일이었다,,,,,,,,,,,,,,,,,,,,
156,3000만큼 사랑해 ㅠㅠ,,,,,,,,,,,,,,,,,,,,
157,아이언맨 진짜 3000만큼 사랑한다..아이언맨으로 시작해서 아이언맨으로 끝났어,,,,,,,,,,,,,,,,,,,,
158,이영화는  10년이 지난 지금봐도 너무나 완벽한 영화,,,,,,,,,,,,,,,,,,,,
159,난 오늘 10년전 영화를 보고 입을 다물지 못하였다....,,,,,,,,,,,,,,,,,,,,
160,이때의 아이언맨 단독 세계관이 최고.,,,,,,,,,,,,,,,,,,,,
161,이런류 영화를 여자도 재밌다고 할정도면 10점이 맞다 작품성이 무엇인가 관객들이 재밌게 보고 웃으면서 돌아가는거 이상 최고의 작품이 있는가? 히어로물로 독보적이다 최소한 재미없다는 얘기는 없는걸 봐선 최고인거 같다,,,,,,,,,,,,,,,,,,,,
162,전설의 시작 OO전 그래픽이지만 지금봐도 훌륭한 그래픽. 마블뽕에 빠지게해준 첫걸음,,,,,,,,,,,,,,,,,,,,
163,지금의 마블 코믹스를 있게 해준 장본인.,,,,,,,,,,,,,,,,,,,,
164,마블 전성기의 시작을 알린 작품. 그 당시 단독 영화로써도 상당히 볼만했지만 지금 보면 어벤져스를 암시하는 곳곳의 떡밥 때문에 배로 재밌음,,,,,,,,,,,,,,,,,,,,
165,로다주가 토니 스타크에 코믹스판 스파이더맨 성격을 접목시켜 굉장히 매력적인 인물로 재탄생시켰다. 배우의 과거가 캐릭터와 맞물려서 굉장한 시너지를 냈기에 그의 복귀가 성공적이었다. 정말이지 몇 번을 봐도 남자의 로망이...,,,,,,,,,,,,,,,,,,,,
166,진짜... 몇번 봐도 1이 정말 재밌다 마블의 시작 같은 영화... 너무너무 재밌음 ㅠ ㅠ 이영화 처음본지가 13년전이라니... 믿기지않음...,,,,,,,,,,,,,,,,,,,,
167,통수 영화였죠. 아이언맨1이랑 트랜스포머1탄.. 먼 유치하게 이런걸 영화로 만들어 하면서 봤다가 벙쪄서 나옴..,,,,,,,,,,,,,,,,,,,,
168,11년전 자신이 탐 크루즈와 함께 세계최고개런티를받는배우가 될걸 알았을까,,,,,,,,,,,,,,,,,,,,
169,전설의 시작이란 말은 흔하지만 다른말이 안어울리기에 ... 전설의 시작,,,,,,,,,,,,,,,,,,,,
170,칠년동안 아이언맨을 좋아하면서 로다주는 단 한번도 실망을  준 적이 없었다.그만큼 그의 연기가 아이언맨 역할의 큰 영향이였던것 같다.,,,,,,,,,,,,,,,,,,,,
171,인생영화...전설의 시작...,,,,,,,,,,,,,,,,,,,,
172,I AM IRON MAN.,,,,,,,,,,,,,,,,,,,,
173,2008년도 영화맞나 와 지렸다 진짜로 내가왜 이걸 안봣나했는데 군대에 있었네 나라지켰다 스박,,,,,,,,,,,,,,,,,,,,
174,On behalf of the fans of Marvel please 재개봉,,,,,,,,,,,,,,,,,,,,
175,3000만큼 사랑해!!!,,,,,,,,,,,,,,,,,,,,
176,I am Ironman.모든것의 시작과 끝.,,,,,,,,,,,,,,,,,,,,
