,content,,,,,,,,,,,,
79,극중인물에 몰입하는게 힘든 영화였다. 개연성 없는 스토리 진행도 문제지만 더 문제는 닭살돋는 대사들. 도대체 대본을 무슨생각으로 만든건지...,,,,,,,,,,,,
80,연출하고 CG는 좋았는데,,,,,,,,,,,,
81,우주에 왜 간걸까? 지구에서 일어날 일인데.,,,,,,,,,,,,
82,CG로 평가하면 별3개반. 그 외 스토리,,,,,,,,,,,,
83,영상미최고 내용그닥 신파아쉽쏘쏘~~!!!,,,,,,,,,,,,
84,개끄레기영화기대도 안했는데 기대보다 훨씬 못하다,,,,,,,,,,,,
85,스토리 연계성 없고 배우들 케미는 꽝이고 내용이 산만해서 전혀 집중 안되네요영화관에서 개봉 했으면 망했을텐데 넷플릭스에 제작비는 받고 팔았으니 정말 잘한 선택인듯,,,,,,,,,,,,
86,최악이다라는 말밖에... 스토리나 연기가 오글거리고 유치하고 뻔하다.,,,,,,,,,,,,
87,한국 SF영화가 의외로 평이 높아 보게 되었는데스토리가 너무나 진부합니다.그래픽은 훌륭하진 않지만 딱 그정도입니다. 나쁘진 않은 수준...영화 전반적인 스토리가 부족하여 시간이 아깝다는 생각도 드네요.,,,,,,,,,,,,
88,분명 처음 보는 영환데 정말 10번은 본 것 같은 기시감이 든다. 큰 이야기부터 작은 에피소드까지 모두 마지막까지 뻔히 예측이 되고 심지어 장면들은 모두 어디서 본 장면들이다. 그것도 여러번! 스토리가 받쳐 주지 못...,,,,,,,,,,,,
89,SF영화는 원래 뻔한 스토리예요 다들 알고 본거 아니예요? ㅋㅋㅋㅋ 뻔한 스토리 라고 해도 저는 굉장히 감동적이였습니다!! 영화를 본 영미권친구들이 대단하다 이야기하며 SF영화들의 스토리들은 거의 비슷 하지만,,,,,,,,,,,,
90,와.. 오랜만에 영화 봤는데 영화관 안가고도 존잼이에ㅇㅕ ㅎㅎ 웃기기도 하면서 감동적 ㅠ,,,,,,,,,,,,
91,어쩜 이렇게 구릴수가... 화가난다,,,,,,,,,,,,
92,절대 보지마 시간 버리지마 속지마,,,,,,,,,,,,
93,진짜 한국영화 클리셰범벅상상력결핍스토리 최악캐릭터성을 억지로 만들려고하니 전형적인 캐릭터만 또나옴. 식상한 인물들 성격개연성부족. 본거 또 보는듯한 연출.특히 유해진역은 이제 감초 같은게아니라 또 유해진묻었네 라는 ...,,,,,,,,,,,,
94,영상미 말고는 볼게 없는 한국판 클리셰 다때려 넣은 억지감동 우주 신파극 미취학 아동이나 웃을 방구개그,,,,,,,,,,,,
95,이것은 항마력 테스트인가 인내심 테스트인가,,,,,,,,,,,,
96,돈만 많이 쓴 쓰레기영화....,,,,,,,,,,,,
97,SF측면에서는 진짜 대박인데 그놈의 K-신파를 벗어나질 못 함,,,,,,,,,,,,
98,CG는 굿,,,,,,,,,,,,
99,KBO리그 팀한테 무슨 메이져급 수준을 바랍니까 ㅋㅋㅋ 이정도면 수작이고 재미있네,,,,,,,,,,,,
100,드디어 한국에도 SF 다운 영화가 나왔다는게 감동... 숨죽이고 봤어요!,,,,,,,,,,,,
101,국뽕 거르면 걍 노답인 영화,,,,,,,,,,,,
102,한국 영화의 뻔하고 진부한 스토리에 영화 요소는 다른 영화의 것들을 너무 많이 가져옴 심지어 사운드 녹음도 똥이라 배우들 목소리도 잘안들림 ㅋㅋㅋCG빼곤 볼게 없는 3류영화,,,,,,,,,,,,
103,킬링도 아깝다 킬링도 아깝다,,,,,,,,,,,,
104,큰기대없이봤어요..근데..우리나라..영화가이렇게..발전할수있구나했어요~그리고~영화가 스케일이달라요..저는너무..멋있고..감명깁게봤어요.태리님..중기님..승리호배우님들~너무멋있어요~사랑합니다^^감사합니다♡,,,,,,,,,,,,
105,CG는 훌륭합니다. 하지만 순간순간의 장면에서 다른 sf 영화의 장면이 떠올랐어요. 창의적이지 못한 부실한 스토리의 우주공상과학 신파극 정도 되겠습니다. 그리고 한국말이 어색한 한국영화는 처음이었네요. 좀 짧게 만들...,,,,,,,,,,,,
106,이런 시나리오에 200억을 투자하겠다고 맘먹은 제작사와 연기하겠다고 맘먹는 연기자들이 놀라워요!!!,,,,,,,,,,,,
107,보다 말았다. 스토리의 허접함.,,,,,,,,,,,,
108,지루하고 재미없어요 내용이 없고 뻔하고 연출도 별로고 보다가 잠들었어요 별두개는 cg점수  시간 내서 볼건 아닌듯,,,,,,,,,,,,
109,영상미 발전 인정하는데 그게 뭐....? 너무 재미없는데 7점대 말도 안된다 ㅋㅋ 이렇게 재미없는거 볼때마다 시간 너무 아까워서 화가난다,,,,,,,,,,,,
110,몰입도가 너무 떨어짐. 스토리도 아쉽고…,,,,,,,,,,,,
111,처음부터 끝까지 오그라들어서 손발이 없어지게 해준 올해 최악의 영화. 어떤 배우였어도 이런 대사를 오그라들지 않게 연기할 수는 없었을 것 같다.스토리는 온갖 sf 영화들을 짜깁기한 뻔하고 재미 없는 내용..한국 영화...,,,,,,,,,,,,
112,대체 뭐지?먼말인지 알아듣기도 힘들고..댓글처럼자막킬걸..내용은 개연성도 없이 뒤죽박죽. 외국인들 연기 와..;;; 보다가 끄려다 얼마나 별론지 끝까지봤는더 더더 실망스럽네. 김태리도 넘 안어울림.,,,,,,,,,,,,
113,여기 알바들밖에없나.. 진지하게 중딩때 용가리 극장에서 본 기분이었음.. 뭔가 우리나라에서 이정도 cg가?? 라는데 의의가있을뿐 영화로써의 연출 및 내용은 별 한개도아까움.. 용가리도 그랬지..,,,,,,,,,,,,
114,영화관에서 개봉했으면 욕나왔다,,,,,,,,,,,,
115,Cg기술이 발전했다는것 빼고는 전형적인 한국영화그래도 투자만 더되면 몇년안에 괜찮은 sf영화 찍을수도,,,,,,,,,,,,
116,넷플릭스에 거대한 똥을 싸놓은 느낌이다. 이야기 전개의 방향 자체가 노답인데 거기에 스토리가 이어지지도 않음. 뭔가 편집하면서 중간에 다 날려서 너무 널뛰기인 느낌. 외국배우들 발연기에. 전체적으로 더빙은 엉망이고....,,,,,,,,,,,,
117,유해진 송중기 나와서 기대햇는데...노잼인데 ㅜㅜ 보다가 티비껏음,,,,,,,,,,,,
118,기대 많이 했었습니다.  한국적 신파는 그만 좀 하시죠. 억지스러운 설정이 무척 거슬렸었습니다. 스포될까봐 내용은 절대 안넣습니다. 여하튼  후기들 보니 알바 많이 풀었네요.,,,,,,,,,,,,
119,내용,,,,,,,,,,,,
120,CG홍보를 위한 샘플영화라면 이해하겠지만 메이저 배우들 앞세워서 이상한 스토리에 캐릭터 각각의 행동도 개연성이 없음. 대부분이 감정적 급발진인데 방향성이 이상함. 역시나 데우스 엑스 마키나 등장. CG는 리얼하나 캐...,,,,,,,,,,,,
121,240억을 투자한 회사가 다음에 영화를 못만들지 않을까하는 걱정이 된다. 넷플릭스가 전부 투자했다면 모르겠지만,,,,,,,,,,,,
122,스토리 짜임새와 상상력이 아쉬웠고 그렇다보니 배우들의 연기도 덩달아 애매해 보였다. 내가 예전에 봤던 심형래 감독의 디워를 봤을때 들었던 생각과 느낌이 이 영화를 볼때 동일하게 작용했다.  CG는 멋있다. 하지만 영...,,,,,,,,,,,,
123,배우분들의 미모와 cg가 열일한 영화..거의 모든 씬이 어디선가 본듯한 상황이 연출된다. 각본에서 고민의 흔적이 전혀 느껴지지 않는 영화,,,,,,,,,,,,
124,초반부 : 와 이게 한국영화라고.? 대박중반부 : 아 OO 역시 한국영화,,,,,,,,,,,,
125,다섯번이나 나눠봤는데 아직도 한시간이나 남아서 포기..,,,,,,,,,,,,
126,기대없이봤는데 재밌네요,,,,,,,,,,,,
127,우리 쫌 솔직해지자..이게 넷플릭스였으니까 봤지 영화관에서 봤으면 솔직히 돈 아까웠다. CG는 좋았음.,,,,,,,,,,,,
128,스토리가... 거의 디워 급이다.어색하고,,,,,,,,,,,,
129,너무재미없었다ㅜ역대급으로.... cg도 이해되지가 않고 대사도 안들리고 (자막으로 보긴 봤지만..) 러닝타임은 또 넘 길고 나중에엔 화까지 남 안끝나서.,,,,,,,,,,,,
130,아 기대안하고 봣는데 한국영화에 이런작품이ㅋ 그저 놀랍구나 송중기만 또 빛날줄알앗는데 오히려 송중기가 별로안보이고 다같이보인다ㅋ  재밋게봣다,,,,,,,,,,,,
131,등장인물 설정,,,,,,,,,,,,
132,Sf물을 원래좋아하는 사람으로써 재밌게보았습니다^^,,,,,,,,,,,,
133,영상미는 백점인데 스토리가 슈렉이 슈렉이 클리셰 클리셰 뻔함 뻔함 구토 구토 오글오글 쳐부심 쳐부심정말 스토리진짜 ㅋㅋ그리고 송중기 빵꾸난 양말보여줬으면  턽털하고 지저분하고 수더분한 그 이미지 그대로 끌고가줘야지그...,,,,,,,,,,,,
134,보다보다 이렇게 산만한 스토리전개는 첨본다 공감도안되고 몰입도 안되고 비싼쓰레기보는기분..넷플릭스로보다가 중간에꺼버림,,,,,,,,,,,,
135,지나치게 뻔한 스토리와 전개를 위한 억지 설정이 몰입을 깸. 연개성이 부족해서  중간중간 실소가 나오기도함. 영화 초중반부터 결말이 그려질 정도로 뻔하디 뻔한 다 아는 그런내용. 불행중 다행으로 신파는 그리 길지 않...,,,,,,,,,,,,
136,한국영화가 이 정도 sf를 만들었다,,,,,,,,,,,,
137,많이 기대했었는데.ㅠ.ㅠ 스토리도 그렇고..아쉽네요. 다음에는 우리나라에서 제대로 된 sf영화 나오길..몇 번이고 돌려 보고 싶은 영화...,,,,,,,,,,,,
138,노잼.  억지로 국뽕 짜내서 10점 주긴 시름. 얼마나 영화가 별로면 사람들이 ‘이야 기술은 좋네! 이러면서 7-8점 줄까? 감독 반성해라,,,,,,,,,,,,
139,업동이 캐리 캐리 ㅋㅋㅋ,,,,,,,,,,,,
140,다들 영상미 칭찬만 하고 스토리 부족하다고 하는데 왜 그러면서 8점9점 주는지 이해가 안간다. 영화에 CG가 들어가는거지 영화는 CG가 아닙니다. 음식먹을때 맛은없는데 화려하고 이쁜 음식에 9점 주진 안잖아요.,,,,,,,,,,,,
141,제작비로 평론가들 빵 사주셨어요? 신파가 많아도 너무 많고... 그래픽도 별로고.... 스토리가 가장 나쁘고...  전투씬이 많은데 타격감이 전혀 느껴지지 않는다는 거.,,,,,,,,,,,,
142,평점이 높길래 기대했는데,,,,,,,,,,,,
143,스토리가 유치해..언론에서 띄어준거 치고 진짜 별로임,,,,,,,,,,,,
144,배우들이 대화할때 분산된다는 느낌이 많았던것 같아요.. 스토리도 몰입이 안되고요   스타2 시네마틱이 더 재밌습니다.. 이 영화는 디워를 잇는 괴작임 ;; 알바분들 평점 똥꼬쇼에 속지마세요,,,,,,,,,,,,
145,개노잼 보다가 잠듦 평점알바 왤케많냐?,,,,,,,,,,,,
146,투니버스 지구를 지켜라 어린이 만화를 보는 듯 유치하다는 생각이 내내....,,,,,,,,,,,,
147,인기있는 이유가 뭔지? 설명 가능하신분,,,,,,,,,,,,
148,이게 재밌냐?? cg가 화려하면 재밌는거냐?? 보다 졸릴까봐 그냥 돌려보고 말았다 차라리 1992년도 개봉한 동방불패가 더 재밌겠다,,,,,,,,,,,,
149,약간의 언어순화만 했으면 7세 관람가도 가능했을 듯... SF를 빙자한 어른들을 위한 동화...,,,,,,,,,,,,
150,개인적으로 cg도 생각보다 별로였고 재미없게봄,,,,,,,,,,,,
151,진짜 쏟은거에 비해 스토리...영,,,,,,,,,,,,
152,우주영화 집합체.   뻔한 스토리.킬링타임 용 시간 아까울정도?  하 화가나네 ㅋㅋㅋㅋ,,,,,,,,,,,,
153,내용 허술 과학근거 빈약 개연성 제로90년대 코미디에 거의 중국영화 수준..못봐주겠음.,,,,,,,,,,,,
154,불면증 치료됐습니다  3년만에 푹 잤네요 감사합니다,,,,,,,,,,,,
155,오우야...어우휴 에휴,,,,,,,,,,,,
