,content
110,얼마나 개창렬하게 쓰면 10번도 안쓴거같은데 연료 바닥나...지다리에 캘빈 붙어있음 말을하던가 ...사람이몇명인데 1인용구조선 달랑2대..방금 부딪혀서 떨어져나간 태양전지판이 지구한바퀴돌아서 탈출하는 구조선 때려극적...
111,생즉사 사즉생. 희생이 항상 좋은 결과를 낳지는 않는다.
112,스트레스풀기위해 보는건 안됩니다!
113,이 영화의 신선함은 기존과 다른 외계생명체를 표현한 것. 스토리나 영상은 기존에 보아왔던 .. 그래서 신선함은 떨어진다. 그래도 킬링타임용으로 많이 방송할 것 같은 예감
114,감독 : ㅋㅋ 다 죽어버려어엉!!!
115,평점이 왜 이렇게 낮은지 모르겠음. 행복한 영화만  좋아하는 사람들 때문인듯? 몰입감 쩔었고 결말 연출 배경음악까지 다 괜찮았다. 징그러운 장면도 있지만 sf스릴러 장르에 충실한 영화였음.
116,마지막반전..여자 비명지를때 소름돋고끝나고 신나는 노래에 또 소름돋았다..
117,답답하고 스트레스 쌓임
118,흑형 촉수물 좋아하는 개변태새끼
119,적자생존은 원래 꿈도 희망도 없는 거랬다.
120,마지막 반전?도있었고.. 보는내내 그냥 쫄렸음다ㄷㄷ
121,영화 보는 내내 온몸이 바들바들.. 깜짝깜짝 놀라는 것보다는 계속 한기가 돌고 징그러운 느낌이 많이 들었어요.. 저런 외계 생명체가 정말 있다면 우리 지구는 이제 끝났군요..
122,영화 초중반에는 별로 무섭지 않았는데 캡슐이 반대로 갈 때 여자 소리지르는 장면에서 급 소름 돋으면서 무서웠고 여운이 길게 남았다.
123,여러분 꼭 영화보실때 오징어를 들고가세요 ㅎㅎ~
124,좋아하는 배우들이 나와서 봤어요
125,전 귀신영화같은거 하나도 안무서워하는 사람인데 중간에 자존심 상하게 눈감은적 있음 ㅡㅡ
126,결말 해피엔딩 아니어서 싫다고 징징 징그럽다고 징징 그럴거면 그냥 아름다운 논픽션 드라마장르 영화를보셈 꿀잼
127,그래비티 같은 영환줄알고 봤는데 괴물나와서 깜짝 놀랐지만 ㄹㅇ루다가 시간가는줄 모르고 봄 결말이 아직도 생생하네
128,소름 개돋아 즐겁게  영화보고 싶으면 딴거 보세요. 저는 스트레스 개받았습니다.
129,보는내내 짜증나네 ㅎㅎ
130,기대 안했는대 스릴이 정말 최고에요 ㅋㅋ 강추
131,흑인 동양인 장애인 은 무개념 으로 비춰지고 백인 영국인 미국인 존멋으로 그렸네 이건뭐 헐리웃영화라지만 쩌는구만
132,저런 빡대가리들도 우주비행사를 할수 있군요 ?
133,관람전에 화장실 꼭 갔다가세요ㅠㅠ
134,팝콘이 맛있는지점과 먹을 수 없는지점이 확실히 나누어짐
135,질질 싼다 진짜...사전정보 하나도 없이 봤는데 대박 무섭고 사실적임. 상상혁 자극시키는거 좋고
136,제이크 질렌할 나오면 무조건 본다. 스릴러에 최적화된 배우. 내가 제일 좋아하는 장르 스릴러. 역시 이번에도 좋았다.
137,천재들만 모아두었을 우주정거장의 우주비행사들이 초기 격리에 실패하고 동료의 죽음에 슬퍼하기 바쁜나머지 지구 전체를 종말로 이끌어가는 영화. 보는 내내 대체 뭘하는건가? 라는 생각만 들어서 답답했음.
138,아맥으로 보면 센시이션을 경험하실 수 있습니다ㅎㅎ
139,지금 보고나왔는데 완전 재밋음!! 시간가는줄 모르고 훅감
140,정말 기분 그지 같다. 미스트랑 똑같음
141,[낚지의 역습]---
142,에이리언1
143,평점이 왜이래 재밌어요 영화
144,너무많은 우연적 요소들이 개연성이 부족하여 몰입을 할 수없음
145,무서우면서 실제로 일어날수도있을거같은 주제였던거같습니다.
146,역시 외계인 얘긴 재밌다
147,질질 끌지 않고 초반부터 흥미진진했어요!!
148,우주 대원들이 훈련 수준이 거의 민간인급..
149,에이리언이나 이벤티 호라이즌 같은 SF 호러 매니아라면 반드시 볼 것!
150,별생각없이 봤다가 생각잔뜩싸들고온 영화..
151,봄날에 날씨도 좋고 기분도 좋고 인생의 의미를 깨닫고 싶어 라이프를 봤는데 괴물이 사람 잡아먹는 영화라니...
152,눈막고 귀막고 코막고 입막고 봤어요놀라는 장면이 너무 많아요ㅠㅠㅠ
153,촉수물인줄 모르고 봤는데 그냥 공포영화 보는게 더 낫다고 생각한다. 영화를 제대로 못볼 정도다. 결말이 충격적이라 아직도 안잊혀진다.
154,엄마랑 같이봤는데 어무니가 기절하려했어요
155,신선한 SF스릴러였습니다... 징그러운거 싫어하시는 분들은 보지마세요 ! 우주영화를 좋아하는데
156,이정도면 깔끔하게 잘 만든 스릴러 영화다.
157,뛰어난 수작    왠만한 공포영화보다 더  스릴있다.
158,진심 역대급으로 찝찝하고 토나올거 같은 영화
159,진짜 숨막혀주금...ㅋㅋㅋ 문단속의 중요성을 말해주는영화
160,바보들의 경연대회냐 ? 영화 참 빙떡처럼 만들었네. 어떻게 비상행동 수칙을 단 한명도 안지키냐
161,스토리 억지도 이런억지가 없다..무슨 상황대처능력이 미취학아동보다 떨어지는데 이런 사람들이 세계최고의 과학자들이라고 우주에 나가있고... 그리고 결말도 무슨 코미디프로그램보는줄ㅡㅡ완전 어이없다 진짜 황당하고 짜증남
162,캘빈은 우릴 미워하지않아라며 캘빈을 아름다운존재라고 표현한 흑인은 캘빈을 일부러 데리고 들어온게 분명했다.캘빈을 깨웠을때 처음 그 감정을 잊을 수 없어서였을까 혹은 줄기세포를 대체할 수있다는 희망때...
163,sf물을 좋아했고 처음에 생물체나왔을때 너무 귀여웠음...그랬는데..
164,최첨단 과학력을 지닌채 지구를 침공한 외계인과의 전쟁을 다루는 많은 영화와 달리 생명체의 기본적인 '생존'그 자체를 건 사투는 신선했다. 다만 엄청난 적응력과 지능 피지컬을 지닌 생명체가 화성에서 오랜...
165,아니 진짜 보는내내 답답해 죽는 줄 암. 개연성이라고는 하나도 없고 그냥 다들 결정적일때 돌아가면서 한번씩 실수해서 문어한테 다 잡아먹힘ㅋㅋ 진짜 개노잼;; 너무 끼워맞추기식으로 억지 스릴러영화로 만들려고 한 느낌;...
166,진짜 잔인한거
167,여자의 마지막 비명소리가 아직도 내 머리에서 메아리되어 울린다ㄷㄷ
168,생각보다 진짜 잔인해요...
169,버터구이 오징어 꼭 사들고 보세요
170,아... 다들 왜 이러십니까.꿈과 희망을 우주로 보내는...난 이미 봤어...너도 돈내고봐...이런겁니까? 엄청 재미나요~~
171,"에일리언의 아류작.  재미는  절반. 이해가 안 가는 승무원들의 일처리. ""이러 저러 하면 될거야"
172,결말에 감탄했다....
173,징그럽고... 재미도 없고...... 보고 기분나쁜 영화네요 ㅠㅠ 진짜 아닌듯....
174,뭐하자는....촉수물
175,회사에서 인적성시험치는 이유. 성취동기가 강한놈들은 주변을 토네이도처럼 잡아먹고 흔들어놓음. 흑인과학자의 성취동기가 지구가 멸망할 결과로
176,결말이 계속 생각남...
177,흑인 과학자 한명이 전인류를 학살하는 영화
178,마지막은 속편을 예고하나.. 무섭다..
179,기대한 것 보다 훨씬 재밌었어요
180,특수 상황에 대한 훈련을 받은 우주 비행사들이 있는 ISS가 아니라
181,잘만든 영화지만 보면서 너무 스트레스 받았다 ㅠㅠ 마지막의 마지막까지 ㅠㅠ
182,스토리가 너무 제멋대로다. 외계인이 지구와의 통신장비를 망가뜨리는 장면부터 이미 볼 맛이 떨어졌다.레베카 퍼거슨이 미션 임파서블에 너무 이쁘게 나와서 봤는데 좀 ....한마디로 앞뒤가 안맞는 영화.고구마 100개.한...
183,이런영화좋다 스릴있고 나름 반전도있고 시간아깝지 않다
184,외계인이 구명정운전을 할줄이야ㅋㅋ
185,잔인한 장면을 직접적으로 보여주진 않지만 소리나 뒷모습 등등 상상이 가서 더 무서움 보고와서 밤에 자려는데 켈빈이 자꾸 떠올라서 소름끼쳤음 여운이 긴 공포급 영화다 무서웡 소름돋고
186,짧지만 임팩트 있는 영화네 기대없이 봤는데 대만족
187,외계생명체 다룰 때 손으로 만지려는 가정이나
188,전문적으로 훈련받은 우주비행사들이 아니라 우주정거장에 거주하는 평범한 주민들 같다. 후속작이 나오면 최민식이 괴물을 씹어먹지 않는 이상 그냥 괴물이나 응원해야겠다.
189,단순한 sf영화가 아니라 인간이 믿고 있는 인간의 절대성
190,억지스런 상황전개 의미없는 복선 최고의 우주선에 훈련이라곤 받지 않은 민간인들같은 대원들....스릴도 없고...
191,마치 에일리언과 그래비티를 훌륭하게 섞어놓은 듯한 영화포스터만 보고 sf로 생각하면 오산. 그래서 뭔가 우울한 일이 있을 때는 절대 비추이고 3일 가량 우울해질 각오를 하고 보길바란다 갠적으론 후속작이 나오면 좋겠다...
192,뻔한반전에 발암걸리는 캐릭터들
193,흑형의 쭈꾸미사랑으로 인한 비극적인 결말
194,너는 나의 펫 -정신병 흑인 과학자
195,재미있었다. 긴장감 느껴지고 스토리전개도 빨랐다. 웨이드 윌슨이 제일 처음 제일 잔인하게 죽는듯.... 그리고 생쥐는 왜 묶어놓은거냐 불쌍하게... 결말은 진짜 충격적이었다.
196,시험기간에 스트레스 풀겸 즐거운 마음으로 영화봤는데 스트레스 더 쌓이는 영화임
197,심장이 쫄깃하네요 하하하
198,Sf 좋아하면 재밌게 볼영화
199,그냥 이정도면 볼만함.킬링타임용으로는
200,보면서 소름이 몇번이나 돋았는지..ㅜㅜ 그래도 꿀잼
201,역겹고 기분이 매우 더러운영화
202,솔직히 관객 평점 7점 대는 아닌 것 같다... 우주sf물 스릴러 좋아한다면 꼭 보세요 영화비 아깝다는 생각은 들지 않을 껍니다.
203,그래비티 에 낙지를 얹었다... 좋은 배우들 다 데려다 놓고 이랬어야 했나..
204,의도적인 긴장감은 좋지만 우주비행사라는 기본 매뉴얼 대처 방안이 이상한 영화
205,엔딩 소름이긴한데.. 다른사람들은 그렇게 빨리죽더니 오래 살아있더라 끝까지...ㅋㅋ 19세가 아니라 많이 절제된느낌이라 그런지 상상하게되는것들이 많음.. 충격적.. 최근영화중 갠적으론 최고라고 생각함
206,캘빈은 샬렛 위에서 새싹처럼 하늘하늘 춤출 때가 귀여웠음ㅜㅜ
207,개인적으로 재밌게봤습니다만 예상은 어느정도 되는 내용이었던것같아요..! 특히나 결말부분이 말이죠..! 그래도 전반적으로 비교적 훌륭했고 15세치곤 약간 잔인한 장면이 나오는것같아 징그러운거 못보시는분들은 다시한번 생...
208,나름 볼만한 영화임 ㅇㅇ.. 근데 생각에 조금 잠기게 되는 영화임.. 인간의 지나친 욕심은 큰화를 불러온다 라는 영화임
209,외계생명체 연구한다면서 장비가 뭐저리 부실하냐 대응을 못하네 최악의 경우에는 우주선 자폭을 시키던가 탈출할 생각만하니 이딴 엔딩이 나오지
210,미친과학자들
211,결말때문에 뒤숭숭해서 잠을못자겠네...
212,킹콩아 켈빈좀 씹어먹어주라
213,소름끼치는 음악 때문에 긴장감이 장난 아니고
214,아~~~~소름. 무섭다.  외계생물채
215,저 진짜 sf 영화 좋아하는데 이 영화는 정말 아니였어요 잔인함과 주인공들의 답답함 흑인의 ㅂㅅ같은 짓거리들 마지막의 뻔하고도 짜증나는 결말 떨어지는 개연성까지 그냥 영화보는 내내 스트레스받으면서 봤어요
216,외계인이 공포스러움 배우들 연기잘함 역시 명배우초반 긴장감 넘치는데 마지막이 아쉽다
217,너무 재미있어요!무섭고 스릴있고 슬프고 반전까지있는영화네요^^오랫만에 재미있는우주영화였습니다
218,내용이 뻔하고 억지설정이 가득함.
