,content,,,,,,,,,,,,,,,,,
112,CG 좋네요~ 게다가 테오 제임스 땜에 비주얼도 굿굿,,,,,,,,,,,,,,,,,
113,판타지소설 원작만의 유치함?ㅋ이있긴 하지만 그래서 더욱 재밌게 본 것 같아요ㅋㅋ판타지 소설 원작만의 매력 있잖아요 ㅋㅋ,,,,,,,,,,,,,,,,,
114,간만에 잼나게 본영화~^^,,,,,,,,,,,,,,,,,
115,큰기대없이가서 봤는데 생각보다괜춘!ㅎㅎ,,,,,,,,,,,,,,,,,
116,기대했던만큼 재밌었고 다음편이 기다려지는 영화,,,,,,,,,,,,,,,,,
117,기대안하고 본영화! 기대이상으로 너무 재밌는걸? 시간가는줄모르고봤네,,,,,,,,,,,,,,,,,
118,IMDB 평점이 7.6이니 걱정안하고 보셔도 될 것 같네요. 저도 생각보다 꽤 괜찮아서 한번은 더 볼 까 생각중입니다.,,,,,,,,,,,,,,,,,
119,이른바 테오제임스 효과! 자꾸 생각나요!! 여운이 확실하게 남네요!,,,,,,,,,,,,,,,,,
120,다이버전트들이 걸릴까봐 내가다 긴장;;ㅋㅋ시간가는줄 모르고 봤다..,,,,,,,,,,,,,,,,,
121,큰 영화관에서 보니까 확실히 영화 보는 재미가 더 배가 되는 것 같아요  역시 영화는 영화관에서 봐야지 돋는 듯,,,,,,,,,,,,,,,,,
122,왠지 보고싶었는데  재밌게봤어요~ 다음편을 어떻게 풀지 궁굼하네요,,,,,,,,,,,,,,,,,
123,테오 제임스(포)..아 ...진짜 멋있당 ...쉐일린 우들리도 진짜 이쁘고 ㅇ와..,,,,,,,,,,,,,,,,,
124,2시간 15분이 지루하지는 않았어요.,,,,,,,,,,,,,,,,,
125,영화를 봤을땐 재밌었던 것같다. 그런데 3일이 지난 오늘 내용이 기억나지 않는 걸 보니 좋은 스토리는 아니었던듯. 하지만 다음 시리즈가 기대는 된다.,,,,,,,,,,,,,,,,,
126,나 이런 류 영화 조으다 ㅋㅋㅋㅋ 잼나게 봤음. 원작있는거라 그런지 나름 탄탄함,,,,,,,,,,,,,,,,,
127,계급사회,,,,,,,,,,,,,,,,,
128,독특한 소재를 기반으로 하고 있는 점에 플러스를 주지만 연출을 좀더 재밌게 할수 있었다고 본다. 그러나 2탄3탄을 위한 영화라고 생각하면 될듯하다. 캡틴어매리카같이 다음탄들은 더 재미있을듯...,,,,,,,,,,,,,,,,,
129,열라 재밌던데 기대안해서 그런가 ㅋㅋ,,,,,,,,,,,,,,,,,
130,한번더볼꺼짱잼너무재밌어용,,,,,,,,,,,,,,,,,
131,뻔하지 않아 신선하게 봤어요 강추!,,,,,,,,,,,,,,,,,
132,주연 배우의 진정성이 보여주는  영화 ~ 롱타임 엔딩  지루할 새 없이  지났갔다,,,,,,,,,,,,,,,,,
133,헝거게임이랑 비슷하면서도 액션신이 더추가된 느낌~남여주인공모두 매력적임~,,,,,,,,,,,,,,,,,
134,시사회로 봤는데 여주남주 누군지도 몰랐지만 보고 나니까 궁금해지는 배우들인듯ㅋㅋ가까운 미래라 현실적인 느낌도있고 재밌음 트왈라잇+헝거게임 느낌남,,,,,,,,,,,,,,,,,
135,대박 난 너무 재밌게 봤음. 주인공 멋있고 그냥  긴장감이 끊이질 않음.,,,,,,,,,,,,,,,,,
136,방황하는 칼날 못봤습니다. 원작 못읽어봤습니다. 개인취향일진 모르겠습니다만 좋았습니다. 평점 7.5 - 8점은 된다고 봅니다. 다음편이 엄청 기대됩니다. 참고로 화려한 볼거리는 없지만 이야기가 참 재밌네요..,,,,,,,,,,,,,,,,,
137,말이 필요 없음.  정말 재밌음.,,,,,,,,,,,,,,,,,
138,오늘개봉에서보구왔는데 볼만하네요~남주캐릭터매력있네요.처음에는지루한면이있었지만중반부부터재미있어요.볼만해요.추천!,,,,,,,,,,,,,,,,,
